#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10.1	13.1	12.7	14.9	20.6	23	24.1	26.4	23.2	20.5	16.4	13.1	27.9	6.6	30.3	18.6	2.3	18.7	0.1	0	5.9	36.4	6	177.7
2	12.1	11.8	13.5	15.3	19.5	21.1	22.4	24.5	21	19.3	16.7	12.1	2.5	16.8	20.1	21	5	5.4	1.6	3.3	8.1	176.9	149.8	45
3	11.4	10.6	13	12.8	18.5	24.1	23.4	24.5	22.4	17	14.7	11.3	10.6	120.8	72.7	36.9	39.6	26.6	39.9	7.2	5.2	76.4	30.4	44.5
4	10.9	11	14.2	14.1	18.8	21.2	22.8	24.4	22.8	21.7	13.3	11.4	44.7	15.2	20.8	10.5	0.7	1.3	42.1	3.5	34.2	66.7	40.8	12.9
5	13.3	10	13.7	14	18.4	24	24.3	24	24	20.1	16.8	12.8	66.6	25	16.3	31.5	91.4	36.4	0.7	5.9	24.3	46.2	75.7	36.4
6	12.5	13.5	12.1	15	15.8	23.2	25.4	27.2	23.9	20.8	14.8	11.5	57.9	13	61.8	50	12.8	8.5	0	3.5	8.5	2.1	99.4	40.8
7	12.2	12.3	11.4	15	18.9	23.5	26.2	25.9	22.4	19.2	13.5	15.5	27.3	38.8	21.3	15.7	3.6	0.3	0.6	4.9	7.2	63.1	60.6	38.5
8	9.5	12.9	12.9	13.9	17.7	22.9	23.2	25.3	23.9	19.5	14.8	11.1	45.1	42.5	31.8	44.3	8.4	0.2	0.2	0.1	20.3	61.5	107.5	31
9	9.8	12.9	11.8	13.8	18.3	26	23.9	25	23.2	20.1	16.1	12.3	15.3	38.7	19.8	42.4	4.5	2.2	5.3	1.4	10.3	15.6	5.7	68.1
10	13	10.1	13.4	16	18.7	22.4	25.3	26.3	22.4	17	14.8	12.7	18.6	106.2	33.9	66.2	22.8	20.7	23.5	0	34.6	46.3	103.1	40.3
11	10	13	13	15.1	17.7	22.8	24.6	26.5	22.3	20.2	16.3	12.9	172.3	34.1	10.1	30.8	15.6	3.5	0.5	1.6	22	22.4	29.5	14.8
12	11	14	13.1	13.7	17.9	23	25.3	24.8	24.3	20.3	17.2	13.6	6.6	26	18.6	107.8	4.8	33	5.2	4.5	1.3	11.9	98.5	77.7
13	12.6	9.9	12.6	15.1	18	20.3	24.5	25.5	23.7	19.9	15.9	13.1	50.8	59.9	21.3	10.1	0.9	6.5	0.6	0	12.7	74.1	18.8	50.1
14	11.4	10.6	13.7	14.7	18.4	23.5	25.6	27.2	23.3	20.2	15.3	13.6	3.4	49.5	13.2	28	47.5	8	1.5	12.2	1.4	24.6	102.9	64.5
15	12	13.4	13	14.5	19.1	22.1	26.2	27.3	23.7	22.3	14.7	13.1	44.4	29.1	31.1	62.5	7.2	24.1	0.5	0.8	57	39.2	141	71.2
16	12.3	10.7	10.4	15.6	18.1	22.6	24.4	25	24.6	19.8	14.3	12.8	128.4	23.6	36	49.6	21.1	57.7	12.5	0.6	76.5	67.7	44.5	38.4
17	13.2	11.3	14.3	16	20.2	22.2	24.1	25.9	20.5	17.9	15.8	12.8	15.5	30.2	20.3	36.7	14.5	12.3	12.9	7.4	3.3	38.7	34.1	8
18	12.4	11.1	12.1	13.7	19.2	24.3	25.5	27.2	24.1	20.2	14.2	11.3	51.4	12.1	8.6	24.8	1.9	5.2	0	1	6.4	58.9	119.4	27.8
19	9.6	11.3	12.4	14.4	16	20.3	25.3	24.9	22.1	18.7	14.4	14.1	60.4	29.2	38.7	28.1	47	20.3	0.3	20.4	119.6	58.8	34	78.3
20	9.9	12.2	12.7	14.1	19.7	22.8	26.2	27.7	22.2	19.2	14.5	10.1	107.2	30.3	29.3	30.9	12.5	5.8	0	3.3	1.5	19.3	47.9	13.7
21	10	10.1	13.3	14.2	17	23.4	26.3	25.7	21.3	19.2	15	11.9	24.9	37.2	2.4	71.8	14.4	6.3	0	1.2	40	52.8	106.7	29.1
22	11	10.5	12.6	14.3	17.7	22.8	27.6	25.6	23.5	19.8	15.4	13.4	83	78.8	99.5	67.7	124.1	11.5	0.1	8.3	25.2	39.6	98	75.9
23	13.1	8.4	14.8	14.3	20	24	25.1	25	22.7	18.3	15	12.5	64.4	40.7	21.5	29.3	3	9.6	0.6	38.2	60.5	22.8	275	75.4
24	11.7	11.3	13.4	15.5	18.9	23.8	23.9	29	23.1	20.8	15.1	14.1	111	54.8	103.7	11.9	3.9	0.3	19.8	0.4	3.1	42.2	56.7	45.8
25	12.3	12.7	12.6	15.4	18.3	21	25.5	24.6	22.2	18.8	15.8	11.2	51.7	61.6	52	43.7	12.1	8	8.5	11.6	41.7	8.5	37.8	14.3
26	10	9.9	14.2	16.1	19	21.4	25.9	25.3	22.3	18.8	15	12.5	19.7	24.3	25.5	40.1	3	1.6	1.1	1.1	1.5	68.1	118.6	57.2
27	12.5	9.8	12.7	15.3	17.9	22.3	27.4	25.6	21	17.3	15.1	11	67.5	8	3	40.4	66.3	2.6	0	8.9	9	48.3	116.9	41.1
28	10.4	13.5	12.4	15.5	17.6	20.6	24.5	26.9	22.9	19.7	14.2	10.6	13.3	69.4	8.5	11.5	7.7	3.7	24.9	0	2.1	18.1	212.8	35.6
29	9.6	11.1	12.1	13.2	16.8	22.3	24.4	24.6	22.3	19.1	15.8	12.5	116.2	16.9	41.4	27.9	50.1	3.2	3.8	2.7	25.2	20.3	26.7	56.5
30	10.5	12.4	13.8	15.9	19.1	22.5	24	23.1	23.7	19.8	15.6	13.7	17.1	40.3	14.3	49.1	41.2	6.4	4	56.5	9.1	57.1	21.7	159.1
31	11.2	13	12.6	15.8	15.1	23.7	26.6	26.8	21.2	21.1	16.2	13.1	46.8	6.2	63	41.9	43.5	41.2	0.2	1.4	9.3	10.6	151	92.3
32	11	11.2	13.6	14.6	18	22.3	23.5	24.4	22.8	18.9	17.9	13	20.4	100.4	20	21.5	2.5	9	0.1	5.9	32	51.3	28	32.3
33	11.2	12.8	12.4	14.9	16.5	21.8	24.6	25.6	22.6	21.1	15.2	13.8	14.4	18.7	45.5	46.1	56.2	0.7	0	3.6	6.3	46.7	81.7	100.4
34	10	10.8	12.5	17.2	16.7	22.6	24.7	27.4	23.2	18.2	14.4	12.5	18.1	25	21.3	26.2	2.5	5.1	0.1	20.2	1.3	27.2	14.1	37.1
35	9.3	11.4	12.2	15.4	16.7	22.1	25.5	26.5	22.8	20.1	15.8	12.6	10.7	8.9	97.2	14.5	54.5	0.6	19.9	20.9	42.6	18.3	17.6	74
36	13	12.2	12.8	14.7	15.8	20.8	25.8	25.8	23.5	18.2	15.7	12.6	115	3.2	13.6	33.9	51.5	9.9	0	0.3	0.3	116.1	29.7	128.2
37	9.5	10.4	11.8	15.3	18.6	21.7	25.3	24.7	24.4	20.1	14.1	11.4	73.7	14.7	7.5	54.4	23.8	9.3	0.1	11.9	25.6	30.9	140.9	55.4
