#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10.1	13.1	12.7	14.8	20.5	23	24.1	26.4	23.2	20.5	16.4	13.1	44.6	13.9	40.7	26.1	3.1	19.8	0.1	0	7.8	43.2	9.2	269
2	12.1	11.8	13.5	15.3	19.5	21.1	22.4	24.5	21	19.3	16.7	12.1	4	35.4	27	29.4	6.9	5.8	1.1	2.3	10.6	209.6	231	68.1
3	11.4	10.6	12.9	12.7	18.5	24.1	23.4	24.5	22.3	17	14.7	11.2	17.1	253.6	97.7	51.9	55.1	28.2	28.5	5.2	6.9	90.5	46.8	67.3
4	10.8	11	14.2	14	18.8	21.2	22.7	24.4	22.8	21.7	13.3	11.3	71.5	31.8	28	14.8	1	1.4	30.1	2.5	44.9	78.9	62.8	19.5
5	13.3	10	13.7	14	18.4	24	24.3	23.9	24	20	16.8	12.8	106.8	52.4	22	44.3	128.2	38.7	0.5	4.2	31.9	54.7	116.6	55.1
6	12.5	13.5	12.1	15	15.8	23.2	25.4	27.2	23.9	20.8	14.8	11.5	92.9	27.3	83.1	70.5	17.9	9.1	0	2.5	11.1	2.5	153.1	61.8
7	12.2	12.3	11.4	15	18.8	23.5	26.1	25.8	22.4	19.1	13.4	15.5	43.8	81.4	28.6	22.2	5.1	0.3	0.4	3.5	9.4	74.6	93.2	58.3
8	9.4	12.9	12.9	13.9	17.7	22.8	23.2	25.2	23.9	19.5	14.7	11.1	72.3	89	42.8	62.6	11.9	0.3	0.1	0	26.5	72.7	165.5	46.9
9	9.8	12.9	11.8	13.8	18.3	26	23.8	25	23.2	20.1	16	12.3	24.6	81.1	26.6	60.1	6.5	2.3	3.8	1	13.5	18.5	8.8	102.9
10	13	10.1	13.4	16	18.7	22.4	25.3	26.3	22.4	17	14.8	12.7	30	222.5	45.7	93.8	32.4	22.1	16.8	0	45.3	54.7	158.6	61
11	10	13	13	15	17.7	22.8	24.6	26.4	22.3	20.2	16.3	12.9	277	71.4	13.5	43.7	22.3	3.8	0.3	1.1	28.8	26.5	45.3	22.4
12	11	14	13.1	13.6	17.9	23	25.3	24.8	24.3	20.3	17.2	13.6	10.5	54.5	25.1	153.3	6.8	35.4	3.7	3.2	1.7	14	151.4	117.4
