#header info#																								
40.6	#latitude; used for cacluating drought index in model bugmann#																							
30	#meter a.s.l. of climate station#																							
																								
#temperature lapse rate with increasing altitude: #																								
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.5													
																								
#precipitation lapse rate with increasing altitude: #																								
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1	0.42	-0.61	1.07	6.3													
																								
100	#meter: corrections (see above) every x meter. #																							
																								
#	mean monthly temperature (°C) total monthly precipitation (mm) #																							
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	12.1	7.7	9.9	14.4	16.4	18.9	22.9	22.7	20.4	17.4	13.9	11	7.3	232.8	31.7	82.3	60.2	108.7	3.5	18.5	9.3	46.9	146.2	92
2	9.3	13.1	10	11.9	18.1	20.9	23.7	22.4	20.5	17.8	13.9	9.7	89.7	29.5	25.3	97.9	176.6	7.5	1.4	0	4.3	91.4	17.9	53.3
3	10.6	11.9	11	13.5	15.8	20.5	24.3	24.3	20.8	18	13.9	12	100.1	132.7	18.7	70.8	9.6	17.5	1.6	5.5	53.3	38.1	158.6	154.2
4	8.4	11.6	9.9	11.8	16	19.9	23.3	23.3	22.4	18.7	13.6	10.4	89.9	29.1	79.6	81.9	108.4	33.3	6.6	61.5	37.4	15	40.9	138.9
5	11.3	11.5	11.3	12.7	15.6	21.4	25.3	23.5	20.9	17.1	15.6	10.8	96	83.6	112.5	39.9	39.1	10.6	0	24.4	19.3	35.4	195.6	48.3
6	11	10.6	10.8	13.7	17.3	20.3	23.4	24	20.9	16.5	12.7	9.4	44.8	127.9	12.8	71.8	13.1	18.3	1.6	2.2	5.9	110.5	196.4	42.7
7	11.4	7.6	12	13.3	18.5	19.6	23.9	23.5	20.1	18	13.5	10.5	88.9	35.4	60.2	81.5	15.6	18.7	2.3	2.8	111.6	118.5	87.5	179.8
8	9.2	12	11	13.9	16.7	19.4	22.6	24.8	20.9	17.8	13.9	11.7	33.4	48.8	56	54.5	18.2	23.6	23.4	0.7	19.6	106.3	413.3	117.9
