#header info#																								
40.6	#latitude; used for cacluating drought index in model bugmann#																							
30	#meter a.s.l. of climate station#																							
																								
#temperature lapse rate with increasing altitude: #																								
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.5													
																								
#precipitation lapse rate with increasing altitude: #																								
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1	0.42	-0.61	1.07	6.3													
																								
100	#meter: corrections (see above) every x meter. #																							
																								
#	mean monthly temperature (°C) total monthly precipitation (mm) #																							
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10.4	8.3	9.7	12.4	17.7	22.7	21.9	24.7	20.4	17.2	12.9	10.8	154.3	131.3	35.1	50	6.2	1.1	12.7	5.1	22	48.2	14	136.9
2	9.7	11	11	14.7	17.5	20.7	23.4	24.3	21.9	17.6	13.3	11.8	33.7	69.1	38	22.8	96.5	11.3	29.5	25.6	23.3	41.3	313.4	77.4
3	8.8	10.5	12.4	13.6	15.9	20.5	22	22.4	21.5	17.4	11	10.6	61.3	15.9	14	19.7	22.6	12	31.7	5.9	1.1	39.7	27.6	94.8
4	10.3	10.9	11.8	12.5	17.4	18.6	20.8	25.5	22	19.1	13.8	12.1	56.6	26.8	89.5	55.8	2.4	4.5	19.4	0.1	21.3	61.7	56	121.1
5	9.5	10.2	12	12.1	15.3	22.3	23.2	21.5	20.8	15.8	13	9.7	51.1	70.8	17.1	69.2	67.6	4.1	2	25.2	72.3	407.1	127.4	189.4
6	7.8	10.3	11.5	12.3	19.1	19.1	21.6	23.9	21.5	19.1	13.1	11.2	64.5	22.6	21.3	130.7	5.6	17.1	0.1	2.3	115.4	25.1	54.7	68.7
7	9.9	10.1	10.3	12.9	18.7	20.6	23.4	23.9	21	19.2	12.8	11.6	74.1	17	9.2	73.2	14.3	9.2	6.2	2.2	17.3	5.5	59.9	149.7
8	10.4	10.5	12.3	13.4	18.2	20.8	24.9	25.8	21.8	17.1	12.1	11.1	154.2	92.7	14	52.1	35.5	9.2	0.2	5	53.3	89	178.2	58.6
