#header info#																								
40.6	#latitude; used for cacluating drought index in model bugmann#																							
30	#meter a.s.l. of climate station#																							
																								
#temperature lapse rate with increasing altitude: #																								
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.5													
																								
#precipitation lapse rate with increasing altitude: #																								
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1	0.42	-0.61	1.07	6.3													
																								
100	#meter: corrections (see above) every x meter. #																							
																								
#	mean monthly temperature (°C) total monthly precipitation (mm) #																							
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10.2	12.9	14	15	17.5	22.6	23.1	25.6	23.8	18.9	16.3	12.6	86.8	52.5	18.3	20.7	47.2	6	4.1	15.1	7.7	47.1	22.5	114.6
2	9.2	11.3	12.7	14.1	18.5	24.7	24.7	24.6	24.3	19.8	15.9	14.4	36.9	72.4	146.8	129.5	72.7	9.5	1.4	17.6	110.7	48	153	71.6
3	11.5	13.1	12.3	14.9	19	22.9	23.2	25	23.2	19.2	16.9	15.9	58.2	122	168.8	22.6	7.7	1.9	40.7	7.7	160.7	35.8	375.1	60.1
4	11.9	11.1	12	13.6	19	24.7	25.9	24.9	21.4	20.3	14.5	13.8	54.7	49.8	65.8	143.7	50.8	0.6	4.3	0.3	128.6	20.2	32.8	86
5	13.8	14.4	11.8	15	18.2	23.8	24.9	26	22.9	18.9	15.4	12.6	23.2	11.1	33.7	28	15	12.2	0.3	0.6	31.5	2.4	138.8	83.8
6	11.4	10.8	14.3	15.4	19.4	25.1	27.1	22.4	21.5	19	14.7	12.4	92.7	110.1	59.8	35.7	84	13	12	23.7	18.3	96.6	325.5	40
7	12.3	13.1	11.6	14.9	18.4	21.7	25.9	25.8	24	20.3	16.1	11.3	54.6	14.9	29.2	30.6	26.2	61.5	19	24.8	117	26.2	123.8	52.5
8	11.7	9.2	13.2	16	18.1	22.1	26.2	24.8	23.5	19.2	15.8	12.3	154.6	41.8	15.1	98.4	3.6	1	15.7	10.8	30.4	94	248.9	159.3
