#header info#																								
40.6	#latitude; used for cacluating drought index in model bugmann#																							
30	#meter a.s.l. of climate station#																							
																								
#temperature lapse rate with increasing altitude: #																								
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.5													
																								
#precipitation lapse rate with increasing altitude: #																								
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1	0.42	-0.61	1.07	6.3													
																								
100	#meter: corrections (see above) every x meter. #																							
																								
#	mean monthly temperature (°C) total monthly precipitation (mm) #																							
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	9.7	8.2	11.5	12.6	15.2	19.1	22.7	22.1	22	16.9	12.6	11.2	38.4	86.3	43.3	41.1	41.2	1.4	3.2	0.6	5.3	25.1	479	32.2
2	6.9	9.4	11.6	13.7	17.9	21.8	23.6	25	19.8	17.9	13.7	10.1	100.6	11.2	63.2	79.4	1.9	18.4	0	0.4	17.1	18	119.7	42.8
3	7.8	9.9	11.2	12.7	17.3	20.4	24.2	24.3	22.4	19.6	12.9	11	65.6	163.8	53.1	77.6	42.6	3.6	0.1	1.2	2.3	10.1	82	142.9
4	9.3	8.3	9.8	12.9	17.3	20.3	22.6	22.5	20.9	16.8	14.4	10.5	269.9	14.3	5.2	39	38.7	1	1.7	17.1	11.7	88.9	138.5	106.3
5	7.8	10.4	9.8	12	17.1	18.8	24	24.6	20.3	18.4	13.4	10.6	90.2	42.7	32.1	31.3	1	5.6	0.3	0	25.5	45.4	38.6	41.2
6	10	9.4	9.9	15	17.7	21	24.2	25.1	21.7	17.2	12.3	12.1	40.4	215.4	49	19.6	3.8	4.5	0	15.8	145.7	171.4	276.1	133.4
7	10	10.3	10.3	12.8	15.3	19.4	24.4	25.8	21.9	17	13.2	10.5	176.1	39.6	102.2	8.1	69.8	28.2	0.3	3.6	70.2	53.5	326.2	37.2
8	8.8	8	10.2	12.8	18.1	19.7	21.2	25.8	21	17.3	14.5	10	32.3	115.9	128.1	39.6	48.2	0.2	4	2.1	7.1	151.3	86.5	162.1
