#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10.1	13.1	12.7	14.9	20.6	23	24.1	26.4	23.2	20.5	16.4	13.1	39.8	9.5	43.3	26.6	3.2	26.8	0.1	0	8.5	52	8.6	253.8
2	12.1	11.8	13.5	15.3	19.5	21.1	22.4	24.5	21	19.3	16.7	12.1	3.6	24.1	28.7	29.9	7.1	7.8	2.2	4.7	11.6	252.7	214	64.2
3	11.4	10.6	13	12.8	18.5	24.1	23.4	24.5	22.4	17	14.7	11.3	15.2	172.6	103.9	52.8	56.5	38	57	10.3	7.5	109.1	43.4	63.5
4	10.9	11	14.2	14.1	18.8	21.2	22.8	24.4	22.8	21.7	13.3	11.4	63.8	21.7	29.7	15	1.1	1.9	60.2	5	48.9	95.2	58.2	18.4
5	13.3	10	13.7	14	18.4	24	24.3	24	24	20.1	16.8	12.8	95.2	35.7	23.3	44.9	130.6	52	1	8.4	34.7	66.1	108.1	52
6	12.5	13.5	12.1	15	15.8	23.2	25.4	27.2	23.9	20.8	14.8	11.5	82.8	18.6	88.3	71.4	18.2	12.2	0	5	12.2	3	142.1	58.3
7	12.2	12.3	11.4	15	18.9	23.5	26.2	25.9	22.4	19.2	13.5	15.5	39	55.5	30.4	22.5	5.2	0.5	0.9	7.1	10.2	90.1	86.5	55.1
8	9.5	12.9	12.9	13.9	17.7	22.9	23.2	25.3	23.9	19.5	14.8	11.1	64.4	60.6	45.5	63.3	12.1	0.4	0.3	0.1	29	87.9	153.6	44.3
9	9.8	12.9	11.8	13.8	18.3	26	23.9	25	23.2	20.1	16.1	12.3	21.9	55.3	28.2	60.6	6.5	3.1	7.6	2	14.7	22.4	8.2	97.3
10	13	10.1	13.4	16	18.7	22.4	25.3	26.3	22.4	17	14.8	12.7	26.6	151.7	48.5	94.5	32.5	29.5	33.5	0	49.4	66.1	147.3	57.6
