#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
40	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.05	4.27	3.73	5.72	3.20	1.02	0.63	0.64	1.55	0.01	2.00	5.70

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (?C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.6	11.6	11.2	13.4	19.1	21.5	22.6	24.9	21.7	19	14.9	11.6	27.9	6.6	30.3	18.6	2.3	18.7	0.1	0	5.9	36.4	6	177.7
2	10.6	10.3	12	13.8	18	19.6	20.9	23	19.5	17.8	15.2	10.6	2.5	16.8	20.1	21	5	5.4	1.6	3.3	8.1	176.9	149.8	45
3	9.9	9.1	11.5	11.3	17	22.6	21.9	23	20.9	15.5	13.2	9.8	10.6	120.8	72.7	36.9	39.6	26.6	39.9	7.2	5.2	76.4	30.4	44.5
4	9.4	9.5	12.7	12.6	17.3	19.7	21.2	22.9	21.3	20.2	11.8	9.9	44.7	15.2	20.8	10.5	0.7	1.3	42.1	3.5	34.2	66.7	40.8	12.9
5	11.8	8.5	12.2	12.5	16.9	22.5	22.8	22.5	22.5	18.6	15.3	11.3	66.6	25	16.3	31.5	91.4	36.4	0.7	5.9	24.3	46.2	75.7	36.4
6	11	12	10.6	13.5	14.3	21.7	23.9	25.7	22.4	19.3	13.3	10	57.9	13	61.8	50	12.8	8.5	0	3.5	8.5	2.1	99.4	40.8
7	10.7	10.8	9.9	13.5	17.4	22	24.7	24.4	20.9	17.7	12	14	27.3	38.8	21.3	15.7	3.6	0.3	0.6	4.9	7.2	63.1	60.6	38.5
8	8	11.4	11.4	12.4	16.2	21.4	21.7	23.8	22.4	18	13.3	9.6	45.1	42.5	31.8	44.3	8.4	0.2	0.2	0.1	20.3	61.5	107.5	31
9	8.3	11.4	10.3	12.3	16.8	24.5	22.4	23.5	21.7	18.6	14.5	10.8	15.3	38.7	19.8	42.4	4.5	2.2	5.3	1.4	10.3	15.6	5.7	68.1
10	11.5	8.6	11.9	14.5	17.2	20.9	23.8	24.8	20.9	15.5	13.3	11.2	18.6	106.2	33.9	66.2	22.8	20.7	23.5	0	34.6	46.3	103.1	40.3
11	8.5	11.5	11.5	13.6	16.2	21.3	23.1	25	20.8	18.7	14.8	11.4	172.3	34.1	10.1	30.8	15.6	3.5	0.5	1.6	22	22.4	29.5	14.8
12	9.5	12.5	11.6	12.2	16.4	21.5	23.8	23.3	22.8	18.8	15.7	12.1	6.6	26	18.6	107.8	4.8	33	5.2	4.5	1.3	11.9	98.5	77.7
13	11.1	8.4	11.1	13.6	16.5	18.8	23	24	22.2	18.4	14.4	11.6	50.8	59.9	21.3	10.1	0.9	6.5	0.6	0	12.7	74.1	18.8	50.1
14	9.8	9.1	12.2	13.2	16.9	22	24.1	25.7	21.8	18.7	13.8	12.1	3.4	49.5	13.2	28	47.5	8	1.5	12.2	1.4	24.6	102.9	64.5
15	10.5	11.9	11.5	13	17.6	20.6	24.7	25.8	22.2	20.8	13.2	11.6	44.4	29.1	31.1	62.5	7.2	24.1	0.5	0.8	57	39.2	141	71.2
16	10.8	9.2	8.9	14.1	16.6	21.1	22.9	23.5	23.1	18.3	12.8	11.3	128.4	23.6	36	49.6	21.1	57.7	12.5	0.6	76.5	67.7	44.5	38.4
