#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.6	11.6	11.2	13.4	19.1	21.5	22.6	24.9	21.7	19	14.9	11.6	39.8	9.5	43.3	26.6	3.2	26.8	0.1	0	8.5	52	8.6	253.8
2	10.6	10.3	12	13.9	18	19.6	20.9	23.1	19.5	17.8	15.2	10.6	3.6	24.1	28.8	29.9	7.1	7.7	2.2	4.7	11.6	252.1	214.5	64.3
3	10	9.2	11.5	11.3	17.1	22.7	22	23.1	21	15.6	13.3	9.8	15.2	173.8	104.7	52.7	56.5	37.9	57	10.3	7.5	108.6	43.6	63.6
4	9.4	9.6	12.8	12.6	17.4	19.8	21.4	23.1	21.5	20.3	11.9	10	63.8	21.9	30.1	15	1.1	1.9	60.1	4.9	49	94.6	58.7	18.5
5	11.9	8.6	12.3	12.7	17	22.6	23	22.7	22.7	18.7	15.4	11.5	95.2	36.2	23.7	44.8	130.6	51.6	1	8.3	34.8	65.5	109.2	52.2
6	11.1	12.1	10.7	13.7	14.4	21.9	24.1	26	22.6	19.5	13.4	10.2	82.7	18.9	90	71.1	18.2	12.1	0	4.9	12.2	3	143.8	58.6
7	10.9	11	10	13.7	17.5	22.3	24.9	24.7	21.2	17.9	12.1	14.2	39	56.6	31.1	22.4	5.2	0.5	0.9	7	10.3	88.9	87.8	55.4
8	8.2	11.6	11.6	12.6	16.4	21.6	22	24.1	22.8	18.4	13.4	9.8	64.3	62.1	46.7	62.8	12.1	0.3	0.3	0.1	29.1	86.5	156.3	44.6
9	8.5	11.6	10.5	12.6	17	24.8	22.8	23.9	22.1	19	14.8	11.1	21.9	56.8	29.1	60.2	6.5	3.1	7.6	1.9	14.8	22	8.3	98
10	11.7	8.9	12.1	14.8	17.5	21.2	24.3	25.3	21.3	15.9	13.6	11.5	26.6	156.3	50.2	93.7	32.5	29	33.5	0	49.8	64.8	150.6	58.1
11	8.8	11.8	11.7	13.8	16.5	21.7	23.6	25.5	21.3	19.2	15.1	11.7	246	50.3	14.9	43.6	22.3	4.9	0.7	2.2	31.7	31.3	43.2	21.4
12	9.8	12.8	11.8	12.5	16.7	21.9	24.4	23.9	23.4	19.3	16	12.5	9.4	38.6	27.8	152.4	6.8	46	7.4	6.2	1.9	16.6	144.6	112.1
13	11.5	8.7	11.4	13.9	16.8	19.3	23.5	24.7	22.8	18.9	14.7	12	72.5	89	31.8	14.3	1.2	9.1	0.9	0	18.4	103.1	27.6	72.4
14	10.2	9.5	12.5	13.5	17.3	22.5	24.7	26.4	22.4	19.3	14.1	12.5	4.9	73.8	19.8	39.5	67.9	11.1	2.2	16.8	2	34.1	151.8	93.3
15	10.9	12.3	11.9	13.4	18	21.1	25.4	26.5	22.9	21.4	13.5	12	63.4	43.5	46.8	88.1	10.3	33.4	0.6	1.1	82.2	54.3	208.5	103.1
16	11.3	9.6	9.3	14.5	17.1	21.7	23.6	24.3	23.8	19	13.3	11.8	183.2	35.4	54.4	69.9	30.2	79.7	17.8	0.8	110.5	93.6	66	55.6
17	12.1	10.3	13.2	14.9	19.1	21.3	23.4	25.3	19.8	17.1	14.7	11.8	22	45.5	30.7	51.6	20.7	16.9	18.3	10.1	4.7	53.3	50.7	11.6
18	11.4	10.1	11	12.7	18.2	23.5	24.8	26.7	23.5	19.4	13.1	10.4	73.3	18.3	13.1	34.9	2.7	7.2	0	1.4	9.3	81.1	177.7	40.3
19	8.6	10.3	11.3	13.4	15.1	19.5	24.6	24.4	21.5	18	13.4	13.2	86.2	44.2	59.2	39.4	67.3	27.8	0.5	27.7	173.2	80.8	50.7	113.7
20	8.9	11.2	11.6	13.2	18.8	22	25.6	27.2	21.7	18.6	13.5	9.2	152.9	46.1	44.9	43.4	17.9	8	0	4.5	2.2	26.5	71.6	19.9
21	9	9.1	12.2	13.3	16.1	22.7	25.8	25.3	20.8	18.5	14	11	35.6	56.7	3.7	100.7	20.6	8.6	0	1.6	57.9	72.2	160	42.3
22	10	9.6	11.6	13.4	16.8	22.1	27.1	25.3	23	19.2	14.4	12.6	118.5	120.5	153.8	94.9	177.4	15.7	0.2	11.2	36.6	54	147.4	110.6
23	12.2	7.5	13.8	13.5	19.1	23.4	24.7	24.7	22.3	17.8	14.1	11.7	91.8	62.5	33.4	41	4.2	13.1	0.8	51.4	87.8	31	414.4	109.9
24	10.8	10.4	12.4	14.7	18.1	23.1	23.5	28.8	22.8	20.3	14.3	13.4	158.3	84.4	161.4	16.6	5.6	0.4	28.1	0.6	4.6	57.3	85.7	66.9
25	11.5	11.8	11.6	14.5	17.5	20.5	25.2	24.4	21.9	18.3	14.9	10.5	73.7	95.2	81.3	61	17.3	10.9	12	15.6	60.6	11.5	57.3	20.9
26	9.2	9.1	13.3	15.3	18.2	20.9	25.6	25.2	22	18.4	14.2	11.8	28	37.7	40	56	4.3	2.2	1.6	1.5	2.2	92	180.1	83.7
27	11.7	9	11.8	14.6	17.2	21.8	27.2	25.5	20.8	17	14.3	10.3	96.3	12.4	4.7	56.4	94.8	3.5	0	11.9	13.1	65.1	177.9	60.1
28	9.6	12.7	11.5	14.8	16.9	20.1	24.4	26.9	22.7	19.4	13.4	10	19	108.1	13.4	16.1	11	5	35.4	0	3	24.4	324.5	52.2
29	8.9	10.3	11.3	12.5	16.1	21.9	24.2	24.6	22.2	18.8	15.1	11.9	165.7	26.4	65.6	38.8	71.7	4.3	5.4	3.5	36.8	27.2	40.7	82.9
30	9.8	11.7	13	15.2	18.5	22.1	23.9	23.2	23.7	19.6	14.9	13.2	24.4	63.2	22.7	68.2	59	8.6	5.7	74.5	13.2	76.5	33.3	233.4
31	10.5	12.3	11.8	15.2	14.5	23.4	26.6	27	21.2	20.9	15.5	12.6	66.7	9.7	100.5	58.2	62.3	54.9	0.3	1.9	13.5	14.1	232	135.5
