#header info#
39.25	#latitude; used for cacluating drought index in model bugmann#
5	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.61	-0.64	-0.58	-0.60	-0.53	-0.44	-0.40	-0.48	-0.57	-0.53	-0.63	-0.64

#precipitation lapse rate with increasing altitude: #
8.19	6.74	6.91	6.83	3.78	1.68	0.99	1.28	3.95	6.34	8.80	11.12

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10.3	13.4	13.4	15.9	21.5	24.1	25.7	28.3	24.4	21.1	15.8	14.8	29.6	5	33.3	17.3	2.3	10.2	0	0	9.3	58.3	3.1	110.4
2	12.5	12.1	14.3	16.2	20.4	22.1	23.8	25.6	22.1	18.5	17.4	12.2	4.6	24.1	19.2	24.1	5.4	3.5	0	1.1	3.9	124.5	83.5	49.7
3	11.7	11.4	13.6	13.4	19.3	25.3	23.2	25.5	23.6	17.3	14.8	11.6	14.5	238.6	75.8	19.7	40.8	13.4	4.9	2.7	5.3	14.5	30.7	75
4	11	11.3	15	15.4	19.7	22.2	22.6	25.5	23.6	21.7	13.7	10.5	50	27.2	17.4	5.3	1	0.8	3.4	1	37.3	141	60	29.2
5	13.2	10.4	14.5	14.7	19.1	25.1	25.5	25	24.9	20.5	17.1	12.4	89.2	57.7	14.9	25.5	91.7	19.3	0.2	1.6	40.4	55.6	38.1	26.3
6	12.5	13.8	12.7	15.3	16.5	24.3	27.7	28.4	25	22.8	15.5	11.7	73.6	10.1	71.5	62.8	17.5	4.2	0	4.7	16.6	10.9	88.1	62.9
7	12.4	12.8	12.1	16.1	19.7	24.4	27.1	27	23.6	19.4	14	14.1	36.9	53.1	29.3	15	4.4	0.1	1.7	3.5	7.5	45.5	79.5	2.9
8	9.6	13.4	13.6	14.3	18.5	23.7	24.9	26.7	24.8	19.8	15.5	11.1	43.8	50.3	33.7	38.6	10.5	0.1	0	0	33.7	53.9	94.9	63.2
9	10.1	13.4	12.6	14.3	19.2	26.9	24.7	26.2	24.3	21.2	15.4	12.8	16.2	45.5	25.5	35.8	5.7	0.5	0.6	0.5	14.8	25	3.6	63.5
10	13.1	10.8	14.1	16	19.5	23.5	25.1	28.1	23.2	17.8	15.5	12.4	29	225	33.2	110.3	24.4	12.3	8.8	0	32.6	7.4	89.9	30.9
11	9.9	13.4	13.8	15.7	18.5	23.8	25.9	27.7	23.2	21.1	16.2	11.6	171	38.4	10.7	35.4	18.5	1.7	0.2	1.6	20.8	34.8	16.8	10.6
12	11.3	14.4	13.9	13.3	18.7	24.2	25.8	25.9	25.7	21.6	17.6	13.8	8.9	20.6	19.3	116.3	6.3	19.1	2.8	1.8	5	23.6	45.5	35.9
13	12.6	10.4	13.4	16.4	18.9	21.4	25.7	27.2	24.7	20	15.7	12.9	66.6	134.8	24	8.7	1.4	4.8	0.2	0	21.5	74.5	12.5	30
14	11.8	11.1	14.6	15.4	19.1	24.6	26.4	28.2	24.7	21.1	16	13.5	5.4	98.1	11.9	27.5	50.5	3.8	1.5	13	2.8	37.3	79.9	29.3
15	12.1	13.8	13.8	14.6	20	23.2	27.2	28.6	24.3	22.7	15.6	13.3	55.9	28.3	32.3	71.4	8.2	14.9	1.6	1.5	75.1	128.9	124.1	44
16	12.2	11	11.1	15.8	18.9	23.9	24.7	26.2	25.1	19.9	14.6	12.5	150.5	46.2	54.1	72.4	24.1	35.6	2.7	0.2	115.3	65.5	48.3	27.5
17	13.4	11.7	15.1	16.4	21	23.3	24.5	27	21.8	18.6	15.8	11	25.4	50.7	16.6	57.4	14.6	7.3	2.2	5.3	1	11.7	23.6	6.9
18	12.4	11.4	12.9	14.5	20.1	25.3	27.3	28.6	25.3	20.4	15.1	11.2	66.2	20.8	11.1	16	2.4	2.1	0	1.8	14.5	70.4	118	52.1
19	9.7	11.7	13.1	15.2	16.6	21.5	26.4	25.7	22.4	19	14.6	14.1	59.3	49.2	44	25.4	57.1	14.9	0.4	10.3	102.1	31.9	37.8	25.6
20	9.8	12.7	13.4	14.8	20.6	23.8	28.1	28.9	23.6	20.3	14.8	9.8	106.5	40.7	32.1	26.2	13.4	3	0	5.6	1.5	16	49.6	62.7
21	10.2	10.5	14.2	14.2	17.7	24.4	28.1	27	22.1	19.6	15.7	11.6	26.4	82.9	2.4	79.7	18.7	3	0.1	0.7	26.5	37.9	88.7	38.9
