#header info#
39.25	#latitude; used for cacluating drought index in model bugmann#
5	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.61	-0.64	-0.58	-0.60	-0.53	-0.44	-0.40	-0.48	-0.57	-0.53	-0.63	-0.64

#precipitation lapse rate with increasing altitude: #
8.19	6.74	6.91	6.83	3.78	1.68	0.99	1.28	3.95	6.34	8.80	11.12

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (?C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.9	11.9	11.9	14.4	20.1	22.7	24.2	26.8	22.9	19.6	14.3	13.3	34.4	4.4	35.4	17.7	2.4	9.6	0	0	10.1	70.2	2.9	135.3
2	11	10.6	12.8	14.8	18.9	20.7	22.4	24.1	20.7	17	16	10.7	5.4	21.3	20.5	24.5	5.6	3.3	0	1.5	4.3	150.1	77.3	60.9
3	10.2	9.9	12.1	11.9	17.8	23.8	21.7	24	22.1	15.8	13.3	10.1	16.8	211.1	80.6	20.1	41.8	12.6	6.9	3.8	5.8	17.5	28.4	92
4	9.5	9.8	13.5	13.9	18.2	20.7	21.2	24	22.1	20.2	12.2	9	57.9	24.1	18.5	5.4	1.1	0.8	4.8	1.5	40.7	170.1	55.6	35.9
5	11.8	8.9	13	13.2	17.6	23.7	24.1	23.5	23.4	19	15.6	10.9	103.4	51	15.9	25.8	93.4	18.2	0.2	2.2	44	67.1	35.4	32.3
6	11	12.3	11.3	13.8	15	22.8	26.2	26.9	23.5	21.3	14	10.2	85.2	8.9	76	63.6	17.8	4	0	6.5	18.1	13.2	81.7	77.2
7	10.9	11.3	10.7	14.6	18.3	22.9	25.6	25.5	22.1	18	12.5	12.6	42.7	47.1	31.1	15.2	4.4	0.1	2.4	4.9	8.2	55	73.8	3.6
8	8.1	12	12.1	12.8	17.1	22.3	23.4	25.2	23.4	18.3	14	9.6	50.7	44.6	35.8	39	10.6	0.1	0	0	36.8	65.1	88.1	77.7
9	8.6	11.9	11.1	12.8	17.7	25.4	23.2	24.7	22.8	19.8	13.9	11.3	18.7	40.3	27	36.1	5.7	0.5	0.9	0.7	16.2	30.3	3.4	78
10	11.7	9.3	12.7	14.6	18	22	23.6	26.6	21.7	16.3	14	11	33.5	199.4	35.2	111.1	24.5	11.5	12.3	0	35.6	8.9	83.5	37.9
11	8.4	12	12.3	14.2	17	22.3	24.4	26.2	21.8	19.6	14.7	10.1	197.6	34	11.4	35.6	18.5	1.6	0.3	2.3	22.8	42.1	15.6	13
12	9.9	12.9	12.4	11.8	17.3	22.7	24.3	24.4	24.2	20.1	16.1	12.3	10.3	18.3	20.5	116.8	6.3	17.8	3.9	2.6	5.4	28.5	42.3	44.2
13	11.2	8.9	11.9	14.9	17.4	19.9	24.2	25.7	23.3	18.5	14.2	11.4	76.9	119.6	25.4	8.8	1.4	4.5	0.3	0	23.6	90.2	11.6	36.9
14	10.3	9.6	13.1	13.9	17.6	23.1	24.9	26.8	23.2	19.6	14.5	12	6.2	87	12.6	27.5	50.1	3.5	2.2	18.2	3.1	45.2	74.3	36.1
15	10.6	12.3	12.3	13.1	18.5	21.8	25.7	27.1	22.9	21.2	14.1	11.9	64.5	25.1	34.2	71.4	8.2	13.8	2.2	2.1	82.2	156.4	115.5	54.1
16	10.7	9.6	9.6	14.3	17.4	22.4	23.2	24.8	23.6	18.5	13.2	11	173.5	41	57.4	72.3	23.8	33	3.8	0.3	126.4	79.5	44.9	33.8
17	11.9	10.3	13.7	15	19.6	21.8	23	25.5	20.3	17.2	14.3	9.5	29.3	45	17.6	57.3	14.4	6.7	3.1	7.5	1.1	14.2	22	8.4
18	11	9.9	11.4	13	18.7	23.8	25.9	27.1	23.8	18.9	13.6	9.7	76.3	18.5	11.8	15.9	2.3	1.9	0	2.5	15.9	85.5	110	64
19	8.2	10.2	11.6	13.7	15.1	20	25	24.2	20.9	17.6	13.1	12.6	68.2	43.7	46.6	25.3	55.8	13.7	0.6	14.5	112	38.7	35.2	31.5
20	8.3	11.2	11.9	13.3	19.1	22.3	26.7	27.4	22.1	18.8	13.3	8.3	122.6	36.2	34.1	26	13	2.8	0	7.8	1.7	19.5	46.3	77.2
21	8.7	9	12.7	12.7	16.2	22.9	26.6	25.5	20.6	18.1	14.2	10.1	30.3	73.8	2.6	79.1	18.1	2.8	0.1	1	29.1	46.1	82.7	47.9
22	9.5	9.7	11.7	12.9	16.8	22.3	27	25.1	22.8	18.9	14.5	12.2	104.5	140.4	114.5	75.8	128.5	5.9	4.6	7.3	37.7	50.7	69.7	47.3
23	11.5	7.3	14.1	13.6	19.4	23.6	24.7	24.2	21.8	17.9	15	11.6	98.3	109.7	17.3	25.9	3.3	4	0.6	29.5	66.2	11.5	201	78.6
24	10.1	10.3	12.4	15.2	18.3	23.1	22.6	29	22.9	19.7	14	12	145	85.6	110.4	13	4.7	0.1	4.2	3.5	5.5	88.5	44.2	16.3
25	10.9	11.8	11.8	14.2	17.6	20.6	24.3	24.1	21.4	18.8	14.3	9	75.9	72.9	60.7	59	14.1	5	6.3	6.9	40.2	6.3	24.6	42
26	8.8	8.8	13.5	15.1	18.4	20.9	25.2	25.1	22.2	17.6	14.3	11.2	24.3	50.7	23	66.2	3.7	0.9	2.4	0.8	1.7	49.2	91.4	62
27	11	8.5	12.1	14.3	17.1	21.8	27.6	25.1	20.6	16.5	14.3	9.9	97.7	18.5	3.7	53.9	70.2	1.2	0.4	7.9	4.7	12.2	88.9	99.9
28	9.2	12.6	11.7	15.2	16.9	20.2	23	27.1	22.7	19.3	14	9.5	17.8	71.4	10.9	12.4	9.9	2.5	8.4	0	3.4	26.1	183.3	106.4
29	8.1	9.9	11.3	12.5	15.9	21.8	23.7	24.2	21.7	18.7	14.2	11.2	130.2	26.2	51.9	15.5	57	1.6	1.1	1.2	25.7	18.1	17.2	59.7
30	9.3	11.4	13.2	14.7	18.4	22	23.4	22.2	23.3	18.6	14	13.5	22.8	47.7	13.5	77.5	42.1	3.3	0.7	29.2	17.6	69.3	15	93.4
31	9.8	11.7	11.7	14.7	14.2	23.4	26.1	26.6	20.8	20.8	15.5	12.2	62.2	4.4	73.1	63.4	54.5	21.2	2.5	2.6	5.5	42.3	88.2	68.6
32	9.7	10.4	12.9	14	17.3	21.8	23.7	24	22.1	17.9	16.1	10.9	28.4	161.5	20.1	19.1	3.5	4.8	0	2.9	38.1	38.8	7.5	26
33	10	11.6	11.6	13.8	15.6	21.2	24.8	25.2	22.3	19.9	14.3	12.8	21.4	17.8	54.6	56.1	64.3	0.4	0	3.1	7.9	105.8	60.9	52.2
34	8.8	9.7	11.8	16.4	16.1	22.2	24.7	26.9	23.1	17.7	12.8	10.7	22.6	41.9	25.9	57.7	4	2.5	0.1	29.1	2.6	12.8	16.5	41.5
35	8.1	10.1	11.2	15	15.8	21.5	23.9	25.9	22.1	19.7	14	11.6	12.3	12.3	117.1	15.9	62	0.3	12	23.7	50	34.3	11.6	72.4
36	11.3	10.8	12.1	13.8	14.9	20.4	25.8	25.7	23.6	16.5	14.2	12.4	163.8	2.9	15.9	36	61.4	6.4	0.2	0.3	0.9	61.4	19.6	124.1
37	8.1	9.2	11.1	14	17.8	21.3	25.2	24.1	23.7	19.3	13.6	10.5	82.6	27.8	11.3	74.9	25.9	5.4	0.4	7.3	50.5	50.3	130	100.9
38	12.3	10.2	10.5	14	18.5	22.1	24.7	24.9	22.3	19.1	13	13.4	67	50.8	42.1	18.7	26.1	2.8	4.6	1.2	30.3	48.4	67.5	38.6
