#header info#
39.25	#latitude; used for cacluating drought index in model bugmann#
5	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.61	-0.64	-0.58	-0.60	-0.53	-0.44	-0.40	-0.48	-0.57	-0.53	-0.63	-0.64

#precipitation lapse rate with increasing altitude: #
8.19	6.74	6.91	6.83	3.78	1.68	0.99	1.28	3.95	6.34	8.80	11.12

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.9	11.9	11.9	14.4	20.1	22.7	24.2	26.8	22.9	19.6	14.3	13.3	26.4	3.4	35.4	17.7	2.4	13.7	0	0	10.1	70.2	2.9	104.1
2	11	10.6	12.8	14.8	18.9	20.7	22.4	24.2	20.7	17	16	10.7	4.1	16.5	20.5	24.5	5.6	4.8	0	2.1	4.2	149.8	77.3	46.8
3	10.3	9.9	12.2	12	17.8	23.9	21.8	24.1	22.2	15.9	13.4	10.2	13	163.2	80.7	20	41.7	18	9.8	5.5	5.8	17.4	28.5	70.7
4	9.6	9.9	13.6	14	18.3	20.8	21.3	24.1	22.3	20.3	12.3	9.1	44.6	18.7	18.6	5.3	1.1	1.1	6.8	2.1	40.2	169.2	55.7	27.5
5	11.9	9	13.2	13.4	17.7	23.8	24.2	23.7	23.6	19.2	15.8	11	79.6	39.7	15.9	25.5	92.7	25.8	0.3	3.1	43.3	66.7	35.4	24.8
6	11.1	12.4	11.4	14	15.1	23	26.4	27.2	23.7	21.5	14.2	10.4	65.6	7	76.2	62.6	17.6	5.6	0	9.3	17.8	13.1	81.8	59.2
7	11.1	11.4	10.8	14.8	18.4	23.1	25.8	25.8	22.4	18.2	12.7	12.8	32.9	36.7	31.2	14.9	4.4	0.1	3.5	7	8	54.4	74	2.8
8	8.3	12.1	12.4	13.1	17.2	22.5	23.7	25.6	23.7	18.6	14.3	9.9	39.1	34.9	35.9	38.1	10.4	0.1	0	0	35.8	64.3	88.4	59.5
9	8.9	12.1	11.3	13.1	17.9	25.7	23.5	25.1	23.2	20.1	14.2	11.6	14.4	31.6	27.1	35.2	5.7	0.7	1.3	1.1	15.7	29.8	3.4	59.7
10	11.9	9.6	12.9	14.8	18.3	22.3	24	27.1	22.1	16.7	14.4	11.3	25.8	156.8	35.4	108.1	24.1	16.2	17.7	0	34.4	8.8	83.8	29
11	8.7	12.2	12.6	14.6	17.3	22.7	24.8	26.7	22.2	20.1	15.1	10.4	152.3	26.8	11.4	34.5	18.2	2.2	0.4	3.3	21.9	41.4	15.7	10
12	10.2	13.2	12.7	12.1	17.5	23.1	24.8	25	24.7	20.6	16.5	12.7	7.9	14.4	20.6	113	6.1	25	5.6	3.6	5.2	28	42.5	33.7
13	11.5	9.2	12.2	15.3	17.7	20.3	24.7	26.3	23.8	19	14.6	11.8	59.3	94.8	25.6	8.4	1.3	6.3	0.4	0	22.5	88.3	11.7	28.2
14	10.6	10	13.5	14.3	18	23.5	25.5	27.4	23.8	20.1	14.9	12.5	4.8	69.1	12.7	26.4	48.9	4.9	3.1	25.7	2.9	44.1	74.7	27.5
15	11	12.7	12.7	13.6	18.9	22.3	26.3	27.8	23.5	21.8	14.6	12.3	49.8	20	34.5	68.4	7.9	19.3	3.2	2.9	78	152.4	116.1	41.3
16	11.1	9.9	10	14.8	17.8	22.9	23.9	25.5	24.2	19.1	13.7	11.5	133.9	32.7	57.9	69	23.1	46.1	5.5	0.4	119.4	77.3	45.2	25.7
17	12.3	10.6	14.1	15.5	20	22.4	23.7	26.3	21	17.8	14.9	10.1	22.6	36	17.7	54.5	14	9.4	4.4	10.5	1	13.8	22.1	6.4
18	11.5	10.3	11.9	13.6	19.1	24.5	26.6	27.9	24.5	19.7	14.2	10.2	58.9	14.8	11.9	15.1	2.3	2.7	0	3.5	14.9	82.9	110.7	48.7
19	8.7	10.7	12.2	14.3	15.6	20.6	25.8	25.1	21.7	18.3	13.7	13.2	52.7	35.1	47.1	23.9	54	19.1	0.9	20.3	104.6	37.4	35.4	24
20	8.9	11.6	12.5	14	19.6	23	27.5	28.4	23	19.6	14	8.9	94.7	29.1	34.4	24.5	12.6	3.8	0.1	10.9	1.6	18.8	46.6	58.7
21	9.3	9.5	13.3	13.4	16.8	23.7	27.5	26.5	21.5	18.9	14.9	10.7	23.4	59.5	2.6	74.3	17.5	3.8	0.2	1.5	26.9	44.4	83.3	36.4
22	10.1	10.2	12.3	13.6	17.4	23.1	27.9	26.2	23.8	19.8	15.2	12.9	80.7	113.6	115.8	71.1	123.5	8.1	6.7	10.2	34.8	48.8	70.2	35.9
23	12.2	7.9	14.7	14.3	20	24.4	25.7	25.3	22.8	18.9	15.8	12.3	76	89	17.5	24.2	3.1	5.6	0.9	41.2	60.8	11	202.6	59.6
24	10.8	10.8	13.1	16	18.9	24	23.6	30.1	23.9	20.7	14.8	12.7	112.1	69.6	111.7	12.1	4.5	0.1	6.2	4.9	5	84.8	44.6	12.4
25	11.5	12.4	12.5	15	18.3	21.5	25.4	25.2	22.5	19.9	15.2	9.8	58.7	59.4	61.5	54.7	13.4	6.9	9.2	9.7	36.6	6	24.8	31.8
26	9.5	9.4	14.2	15.9	19	21.8	26.3	26.3	23.3	18.7	15.2	12	18.8	41.4	23.3	61.3	3.5	1.2	3.6	1.1	1.5	46.9	92.3	46.9
27	11.7	9.1	12.9	15.1	17.8	22.8	28.8	26.4	21.7	17.6	15.3	10.7	75.6	15.1	3.8	49.7	66.8	1.7	0.6	11	4.2	11.6	89.8	75.6
28	10	13.2	12.5	16.1	17.6	21.1	24.2	28.4	23.9	20.5	15	10.4	13.8	58.6	11.1	11.4	9.4	3.4	12.4	0	3	24.8	185.1	80.5
29	8.9	10.6	12.1	13.4	16.7	22.8	24.9	25.6	23	19.9	15.2	12.1	100.8	21.6	52.6	14.2	54	2.2	1.7	1.7	23.1	17.2	17.4	45.1
30	10.1	12.1	14	15.6	19.2	23.1	24.6	23.6	24.6	19.8	15	14.5	17.7	39.3	13.7	70.8	39.8	4.5	1.1	40.5	15.7	65.6	15.2	70.6
31	10.6	12.4	12.6	15.7	15	24.5	27.4	28.1	22.2	22.1	16.6	13.2	48.2	3.6	74.3	57.7	51.4	29.1	3.7	3.6	4.9	40	89.1	51.7
32	10.6	11.1	13.8	15	18.2	23	25	25.5	23.5	19.2	17.2	11.9	21.9	132.7	20.4	17.3	3.3	6.6	0	4	33.8	36.7	7.6	19.6
33	10.9	12.4	12.5	14.9	16.5	22.4	26.2	26.8	23.7	21.3	15.4	13.9	16.5	14.6	55.2	50.9	60.4	0.5	0	4.2	7	100.3	61.6	39.3
34	9.8	10.6	12.8	17.5	17	23.4	26.2	28.5	24.6	19.1	13.9	11.8	17.4	34.1	26.2	52.4	3.7	3.4	0.2	40.4	2.3	12.2	16.8	31.3
35	9.1	11	12.2	16.1	16.7	22.8	25.5	27.6	23.6	21.1	15.3	12.8	9.4	9.9	118.2	14.4	57.9	0.4	17.7	32.9	44.2	32.6	11.8	54.5
36	12.4	11.7	13.2	15	15.8	21.7	27.5	27.5	25.2	18	15.5	13.6	125.6	2.3	16	32.7	57.2	8.8	0.3	0.4	0.8	58.5	19.9	93.2
37	9.2	10.1	12.2	15.2	18.9	22.7	26.8	26	25.4	20.9	14.9	11.7	63.2	22.2	11.3	67.8	24.1	7.3	0.5	10.2	44.5	48	132	75.7
38	13.4	11.2	11.6	15.2	19.6	23.6	26.4	26.9	24.1	20.7	14.3	14.7	51.2	40.4	42.3	16.9	24.2	3.8	6.7	1.6	26.6	46.3	68.6	29
39	11.7	13.7	13.4	15.2	20.1	23.4	27.1	26.8	24.2	19.6	15.2	13.1	103.4	126.4	62.5	12.6	21.8	5.6	0	4.4	35.3	12	32.3	1.7
40	11.6	8.5	13.4	14.8	20.3	21.6	26.6	25.4	24.1	20	15.9	11.2	83.6	115.7	24.6	10	6.4	21.8	0.2	3.1	118.7	65.7	70.6	55.6
41	10.9	11.4	11.8	15.4	21.7	25.4	25.8	25.1	22.6	20.5	14.7	11.7	19.3	15.8	38	24.2	9.3	2.7	0	0.1	86.5	33.8	9	43.6
42	10.4	9.6	12.1	15.3	21	24.1	24.3	26.6	25.1	18.9	15.5	12	26.9	90.2	47.4	48.7	62.9	9.8	0.1	0	28.9	35.6	100.8	22.3
43	10.2	11.8	14.1	15.6	18	25.4	26.1	26.4	24.7	18.2	17.2	12.7	54.9	72	31	15.6	5.6	2.3	4	2.5	64.8	101.5	42.2	67.7
44	12.4	12.7	12	17.3	17.8	22.6	25.5	26.4	25.6	19.5	13.8	10.8	73.6	13.8	151.2	38.5	8.1	10.9	0.1	1.4	9.5	35	46	37.7
45	11.3	11.5	11.7	16	19	24.9	26.7	28.8	25.7	19.1	16.5	14.1	16.3	15.1	78.1	8.3	44.5	5.3	4.4	1.6	14.6	45.9	18.4	15.8
46	11.3	13.8	12.6	14	18.2	23.5	25.5	29	22.8	19.8	15	11.3	189.8	35.9	10.3	22.6	36.6	3.1	0.1	0	24.5	69.7	18.9	64.5
47	10	12.6	14.3	14.2	18.7	22	28.5	27.2	24.9	22.9	14.8	12.7	64.3	11.2	50.9	34.5	9.7	12	2.1	1.6	83.9	40.9	59.7	13.1
48	11.3	13	13.3	15.5	18.9	23.9	25.7	28.8	23	21.3	16	10.8	142.8	11.3	27.3	12	17.7	8.1	1.8	1.9	0	96.7	13.4	52.5
49	12.4	10.8	14.7	15	21.5	25	26.2	27.7	23.7	20.5	15.7	12.3	35.8	28.6	4.9	68.8	11.4	0.2	5.2	5.3	25.6	138.3	50.9	90.3
50	10.3	11.8	11.6	15.3	20	23.9	28.8	29.3	23.4	20.7	15.5	13.6	44.3	10.1	114.1	52.9	2.3	7.9	6.6	2.4	12.7	31.7	19.6	57.7
51	12.5	11.8	12.5	16.7	18.5	23.5	26.8	27.7	23.9	19.3	15.4	13.4	16.9	72.9	14.9	4	37	8	3.7	0.4	7.4	19.2	10.6	17.3
52	12.3	12.4	14.2	14.6	18.7	24.3	26.4	28.5	23.6	21.8	15.4	10.9	52.9	21.7	28.1	5.7	10.2	5	6.8	0	3.1	103.2	55.6	118.4
53	13.6	10.3	13.2	15.6	17.2	24.3	27.8	27.7	24.6	21.5	16.3	12.6	33.5	26.5	140.7	13.5	31.8	0.6	5.7	46.9	1.3	58.6	72.8	52.1
54	11.6	14.7	14.1	15.9	20.4	26.9	28.4	26.4	24.6	20.9	17.2	11.7	27.8	15.9	37.3	19	9.9	0.2	3.9	1.6	53.5	305	10.9	27.2
55	14	11.3	12.4	16.6	18.4	23	28.9	26.8	24.1	20.8	17	13.5	37.6	34.3	93.6	16.9	73	6.5	4.4	38.3	18	56	118.5	23.2
56	11.4	13	14.3	16	18.1	25.1	29	27	23.8	21	16.3	11.1	52.2	34.8	34.8	44.8	25.1	3.7	1.9	17.1	58.9	10.7	41.9	52.7
57	13.1	10.8	14.6	15.3	22.6	24.6	24.2	27.9	24.2	22.4	13.9	12.4	41.1	7.8	6	25.4	0	2.3	0	3.5	56	62.4	10.2	34.2
58	11.6	12.4	13.5	14.8	20.7	24.3	29.5	27.4	22.8	19.1	16.7	12.4	49.4	156.7	47.9	31.2	10.7	2.7	0.2	0	10.3	31.1	41.4	85.9
59	11.8	12.5	15.3	15.5	21.9	23.8	28.4	30.6	24.9	20.5	16.4	13.2	101.1	67.6	33.7	10.1	28.8	1.2	0	0	20.3	93.9	93.9	56.6
60	10.2	14.2	12.5	15.2	19.3	24.1	27.6	28.5	25.8	22.6	15.2	14.9	128.7	89.4	95.6	43.6	37.9	13.8	0.1	2.2	7.2	23.2	41.7	35.3
61	12.3	11.6	13.8	15.8	20.3	24.9	29.2	28.9	25.4	19.5	16.8	12.7	55.1	13	65.1	18.8	12.3	5.6	0.8	0.1	10.6	30.2	138.1	44.4
62	12	12.8	14.2	15.1	19.5	24.5	26.6	27	24.5	21	16.4	14.5	17.7	26.5	32.2	13.6	8.9	59.5	2.7	4.2	70.4	62.6	34.1	55.8
63	10.7	13.9	14.8	15.5	19.7	26.5	26.7	30.8	24.4	24.1	16.6	12.2	18.9	19	16.4	13.7	5.4	3.3	0.6	0.5	6.2	85.4	62.4	19.8
64	11.1	12.2	12.7	16.5	20.8	24	29.8	27.9	26	21.9	16	15.1	51	20	30.8	21.5	36.1	4.1	9	1	13.1	71.6	21.5	54.5
