#header info#																								
40.4	#latitude; used for cacluating drought index in model bugmann#																							
65	#meter a.s.l. of climate station#																							
																								
#temperature lapse rate with increasing altitude: #																								
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.5													
																								
#precipitation lapse rate with increasing altitude: #																								
5.97	3.12	2.35	4.56	1.71	0.74	0.49	1.16	0.79	0.31	1.82	7.01													
																								
100	#meter: corrections (see above) every x meter. #																							
																								
#	mean monthly temperature (°C) total monthly precipitation (mm) #																							
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	9.6	11.9	11.3	14.4	17.4	21.9	25	25.7	20.3	17.4	13.3	11.3	104.6	111.6	51.7	186.4	22.9	1.9	2.4	12.9	171.9	3.7	126.1	40.4
2	9.8	9.9	12.5	14.7	17	23.7	27.4	25.9	22.4	18.3	14.1	9.5	94.4	12.2	99.5	75.9	4.2	13.3	9.9	5.6	10.5	145.5	114.1	168.2
3	10.8	10.9	12	13.8	18.1	22.6	24.4	25.8	22.3	19.8	13.1	9.1	67.9	30.6	2.3	13	75.4	2.2	0.3	6	80.5	24.6	96	86.4
4	10.8	12.5	11.4	14.6	16.8	21.8	25.6	26.6	23.8	17.9	13.3	11.1	5.5	11.7	190.5	42.2	14.2	44.4	0	51.1	6.9	178.1	47.5	31.3
5	11	7.6	10.2	11.8	17.1	23	26.1	25.4	23.1	18.3	12.8	10.3	57.5	132.5	69.6	163	9.5	8	0.2	2	78.3	44.4	26.8	116.6
6	11.9	11.7	12.7	12.6	18.5	22.7	26.2	25.4	20.8	18.2	11.9	11.1	41.6	88.5	45.7	152.4	3	14.4	1.7	0.1	122.1	74.2	321.4	128
7	11.2	8.5	11.3	13	16.8	21.2	24.6	25.1	21.6	17.8	15.9	12.7	63.4	29.7	184	42.8	0.5	0.4	1.4	6.7	93.3	21.3	79.8	7.8
8	10.3	8.7	12.8	14.8	19.3	22.5	26.7	25.2	22.8	19.1	14.9	13.4	58.7	19.6	111.9	24.8	48.9	0.3	10.5	23.3	14.3	33.5	43.5	33.4
