#header info#
40.4	#latitude; used for cacluating drought index in model bugmann#
65	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.97	3.12	2.35	4.56	1.71	0.74	0.49	1.16	0.79	0.31	1.82	7.01

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	11.4	14.3	13.7	16.2	21.6	24.1	25.7	28.1	24.8	21.6	17.6	16	64.3	1.8	41.3	17.8	2.7	18.4	0	0	9	40.2	2.3	79.8
2	11.7	12.9	14.8	16.5	20.5	22.2	24.2	26.2	22.6	20.2	17.9	13.1	1.7	18.7	23.2	25.7	6.1	3.3	0.3	2.1	9	243.1	186.9	83.1
3	11.8	11.9	13.7	13.7	19.3	25.2	25	26.2	24	18	15.9	12.8	13.1	312.3	119.9	24.1	62.6	27.9	36.1	5.5	7.1	94.1	33.6	163
4	12.3	12	15.6	15.7	19.9	22.2	24.4	26	24.1	22.8	14.4	11.4	67.3	24.4	23.4	4.5	0.5	0.3	35.4	2.3	47.3	81.8	62.1	93.6
5	14.3	11	15.1	15.1	19.2	25.1	25.8	25.6	25.3	21.1	18	13.1	27.9	67.2	17.4	29.8	158.3	45.4	0.3	4.3	37.9	53.1	76.1	33.8
6	13.6	14.7	12.8	15.7	16.6	24.2	26.8	28.9	25.4	22	16	12.8	38.2	4.3	101.6	79.7	13	4.9	0	2.2	13.8	1.1	143.2	132.1
7	12.9	13.5	12.4	16.4	19.9	24.3	27.5	27.5	24	20.2	14.6	14.2	19.1	47.1	28	14.8	3.9	0	0.8	3.4	9.7	75.9	96.2	0.3
8	11.3	14.3	14	14.7	18.7	23.7	24.8	26.9	25.3	20.6	15.9	12.3	122.3	40.6	43.5	48.4	9.6	0	0	0	31.6	73.8	157.2	161.3
9	10.9	14.2	12.9	14.6	19.3	26.7	25.4	26.7	24.7	21.2	17.2	13.8	48.7	35.8	24.9	44.6	4.8	0.1	3.6	0.7	15.3	14.4	2.4	85.8
10	13.2	11.3	14.5	16.4	19.6	23.5	26.7	28	23.7	18	16	13.2	6.8	302.2	46.2	144.5	34.6	23.5	26.6	0	45.9	52.4	148.3	40.4
11	12.9	14.3	14.4	16	18.6	23.7	26.1	28.1	23.7	21.3	17.5	12.1	289.3	28.5	9.4	41.1	20.4	1	0.2	0.8	29.2	22.4	23.2	17.9
12	11.3	15.4	14.3	13.7	18.9	24.2	26.7	26.5	26	21.4	18.4	14.5	11.9	10.6	21.5	166.4	4.9	43.6	5.4	3.1	2.6	10.2	101.8	23.3
