#header info#																								
40.4	#latitude; used for cacluating drought index in model bugmann#																							
65	#meter a.s.l. of climate station#																							
																								
#temperature lapse rate with increasing altitude: #																								
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.5													
																								
#precipitation lapse rate with increasing altitude: #																								
5.97	3.12	2.35	4.56	1.71	0.74	0.49	1.16	0.79	0.31	1.82	7.01													
																								
100	#meter: corrections (see above) every x meter. #																							
																								
#	mean monthly temperature (°C) total monthly precipitation (mm) #																							
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	8.8	12.1	13.1	13.7	18.1	21.1	27.2	27.7	23.2	20.1	15.5	13.4	8.3	22.6	12.5	73.6	3	0.4	3.6	0	5.4	33.8	104	36.2
2	11.9	15.2	15.1	16.2	20.3	21.9	25.1	23.8	22.6	18.8	15.9	14.3	91.2	25	5.7	17.4	27.5	7.6	0	9.6	120.4	106.8	37.8	53.8
3	10.5	10.1	12.4	13.7	17.8	20.5	27	25.6	24	18	13.9	12.9	16.3	53.8	85	16.2	17.4	148	15.6	16	3.3	22.7	272	14.9
4	10.3	11.9	12.2	15.2	17.3	21.2	26	25.9	21.4	19.8	15.7	12.8	79.5	61	147	57.4	39.7	2.5	0.3	33	32.6	5.6	4.1	0.3
5	12.8	11.5	12	14.4	17.8	21.5	26	27.7	23.3	19.2	16.3	12	22.2	22	1.6	81.3	22.5	2	0	0.1	4.5	48.8	188.7	72.8
6	11.9	9.5	14.2	13.4	19.3	21.7	26	24.8	22.3	17.7	14.4	12.2	15.9	154.6	91.3	55	0.2	22.3	11.1	0.1	5.4	34.6	284.2	58.7
7	12.2	13.5	12.5	13.9	20.1	24.3	24.7	26.2	22.6	19.7	15.4	13.3	6	31.9	1.3	55	30.1	1.3	1.9	1.3	26.3	32.8	7.9	31.6
8	10.6	13.5	11.5	13.5	18.2	21.5	27.3	24.3	23.7	16.6	14	12.8	7.7	86.4	12.4	71.7	4.9	11	0.3	95.2	70.9	63.8	16.4	20.9
