#header info#																								
40.4	#latitude; used for cacluating drought index in model bugmann#																							
65	#meter a.s.l. of climate station#																							
																								
#temperature lapse rate with increasing altitude: #																								
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.5													
																								
#precipitation lapse rate with increasing altitude: #																								
5.97	3.12	2.35	4.56	1.71	0.74	0.49	1.16	0.79	0.31	1.82	7.01													
																								
100	#meter: corrections (see above) every x meter. #																							
																								
#	mean monthly temperature (°C) total monthly precipitation (mm) #																							
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	11.9	12.1	13.1	14.5	21.5	21.7	26.7	26.1	22.4	20.5	17.1	12.4	84.5	68.2	62	68.8	65.3	6.5	0	15	11.8	119	132	98.7
2	10.3	10.4	11.7	14.7	15.7	21.2	25.6	26.8	24.8	21.7	17.5	12.2	41.1	82.1	28.9	15.8	95.6	51.8	50.6	0	17.1	5.1	38.8	4.4
3	11.1	12.9	11.8	14.6	18.9	23.3	26.8	24.2	23.8	20.3	15.4	12.6	65.3	6	165.9	7.9	42.5	2.3	0	0.4	18.9	111.7	48.4	86.8
4	13.8	14.2	12.2	16.2	19.8	21.9	29	27.3	22.4	22.1	15.9	16.3	57.9	100	75.5	100.1	1.9	125.5	0.6	0	24.9	166	70.5	4.1
5	12.3	10.6	13.6	15	20.5	24	27.4	26.6	25	21.4	15.1	14.5	9.2	153.4	7.1	97.1	11.4	8.6	6.2	0	50.5	62.7	175.4	152.6
6	11.4	14.6	13.2	17.5	16.5	24.1	26.8	25.8	25.1	18.8	15.3	15	82.3	35.9	106.7	99	59.4	28.9	0.1	0.1	45.8	21	24.1	84.6
7	13.1	11.7	13	14.9	18.3	24.9	26.3	28.6	25.3	22	17.8	13.9	34	165.6	80.3	183.4	65.8	0	0.1	3	6.2	48.2	11.4	138.8
8	11.4	12.1	14.4	16	19.2	23.4	27.8	28.7	25.3	20.1	15.1	14	5.7	135	4.2	172.3	48.6	142.3	0	0	4.3	41	279.6	79.5
