#header info#
40.5	#latitude; used for cacluating drought index in model bugmann#
150	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	11.5	14.3	13.8	16.2	21.7	24.1	25.7	28.1	24.8	21.6	17.6	16	57.4	1.2	43.9	18.2	2.8	24.9	0	0	9.8	48.5	2.1	75.3
2	11.7	12.9	14.8	16.6	20.5	22.2	24.2	26.2	22.6	20.2	17.9	13.2	1.5	12.7	24.7	26.2	6.3	4.5	0.6	4.2	9.8	293	173.1	78.4
3	11.9	11.9	13.7	13.7	19.4	25.2	25	26.2	24	18	15.9	12.8	11.7	212.6	127.5	24.5	64.2	37.7	72.2	11	7.7	113.5	31.1	153.9
4	12.3	12	15.6	15.7	19.9	22.2	24.5	26.1	24.1	22.8	14.5	11.4	60	16.6	24.9	4.6	0.5	0.3	70.7	4.6	51.5	98.7	57.6	88.3
5	14.3	11	15.1	15.1	19.2	25.1	25.9	25.6	25.4	21.1	18.1	13.2	24.9	45.8	18.5	30.2	161.3	61.1	0.6	8.6	41.3	64.1	70.6	31.9
6	13.6	14.7	12.9	15.7	16.6	24.2	26.8	28.9	25.4	22	16	12.8	34.1	2.9	107.9	80.8	13.2	6.5	0	4.4	15.1	1.4	132.8	124.7
7	12.9	13.6	12.4	16.4	19.9	24.3	27.5	27.6	24	20.2	14.6	14.2	17	32.1	29.8	15	3.9	0	1.5	6.8	10.6	91.7	89.3	0.3
8	11.3	14.3	14	14.7	18.7	23.7	24.9	27	25.3	20.6	16	12.3	108.8	27.7	46.2	48.9	9.7	0	0	0	34.4	89.2	146	152.4
9	10.9	14.2	12.9	14.7	19.3	26.7	25.5	26.7	24.7	21.2	17.2	13.9	43.3	24.4	26.4	45	4.8	0.2	7.1	1.5	16.7	17.4	2.2	81
10	13.2	11.3	14.6	16.4	19.7	23.5	26.7	28	23.7	18	16	13.3	6	206.1	49	145.5	34.7	31.4	53.3	0	50.1	63.4	137.8	38.2
11	12.9	14.3	14.4	16.1	18.6	23.8	26.2	28.2	23.8	21.3	17.5	12.1	257.2	19.4	10	41.4	20.5	1.4	0.5	1.7	31.9	27.1	21.6	16.9
12	11.3	15.4	14.4	13.7	18.9	24.2	26.7	26.5	26	21.5	18.4	14.6	10.6	7.2	22.9	167.1	4.9	58.1	10.8	6.1	2.8	12.4	94.6	22.1
13	13.6	11	13.8	16.7	19	21.5	26	27.2	25.2	20.9	17.1	13.7	26.7	120.1	27.9	7.6	0.5	7.1	0.6	0	21.7	110.7	12.6	28.1
14	11.4	11.8	15.2	15.7	19.2	24.5	27	28.9	25	21.3	16.5	14.3	4.4	79.2	13.7	31.3	78.3	5.5	3.1	19.5	2.5	30.3	129.5	18.9
15	13.1	14.7	14.2	15	20.1	23.3	27.6	29	24.9	23.4	15.9	14.2	32.9	12.3	44.5	94.4	9.4	40.5	1.1	0.7	90.8	53.3	202.4	38.2
16	14.2	11.7	11.2	16.2	19	23.9	25.9	26.6	25.6	20.8	15.5	13.2	89.9	32.9	59.9	91.3	30.3	126.9	22.7	0.5	127.1	99.8	54	32.7
17	13.3	12.5	15.7	16.8	21.2	23.3	25.7	27.6	22.3	18.9	17	11.5	3.9	34	23.8	68.7	23.3	14.3	22.1	11.1	3.5	51.5	29.4	15
18	13.5	12.1	13.5	14.9	20.3	25.2	26.9	28.9	25.6	21.3	15.4	12.2	30.6	11.8	8.5	17.5	1.8	2.1	0	1	11.9	85.1	176.3	123.5
19	11.6	12.4	13.4	15.5	16.8	21.6	26.7	26.6	23.1	19.7	15.5	14.8	129.3	32.9	60.4	28.8	67.1	38.4	0.5	36.1	169.8	84.5	38.4	10.1
20	12.3	13.5	13.8	15.2	20.7	23.8	27.6	29.4	24	20.3	15.6	11	182.7	23.3	41.9	30.3	19	3.6	0	4.1	2.2	22.5	57.8	233.4
21	11.3	11.1	15	14.6	17.9	24.4	27.6	27.4	22.7	20.2	16.2	12.5	57.3	69.2	1.3	107	17.3	3.7	0	1.1	53	74.7	140.4	76.7
22	12.9	11.7	13.2	14.7	18.4	23.8	28.8	27.3	24.8	20.8	16.6	14.5	100.6	136.6	186.4	101.6	218.3	11.9	0.6	12.7	40.5	53.4	121	26.5
23	14.1	9.3	16.2	15.4	21.1	25	26.6	26.7	23.8	19.4	16.3	14.1	27.5	122.5	25.3	29.8	3.6	7	0.8	72.5	89.3	27.4	416.7	73.7
24	13.6	12.5	14	17	20	24.5	25.5	30.7	24.8	21.9	16.3	14	99.6	73.6	191.6	12	4.4	0	35	0.3	5.2	57.8	63.8	5.9
25	13.4	14.1	13.5	16.1	19.3	22.2	26.9	26.3	23.5	19.9	17	11.5	32.7	52.8	86.3	73.1	16	8.7	19.1	19.1	59.4	8.1	33.9	103
26	11.2	10.9	15.5	16.9	20	22.5	27.2	27	24	19.9	16.2	13.7	46.9	45.8	32.6	80.6	3.1	0.5	2.5	1.1	2.2	100	159.3	63.9
27	13.7	10.6	14.4	16.1	18.7	23.3	28.6	27.3	22.6	18.3	16.3	12.6	40.8	14.4	1.8	65.9	110.7	0.9	0	13.9	10.9	66.7	155.5	183.9
28	11.2	14.9	13.8	17	18.5	21.7	26.1	28.6	24.6	20.8	15.4	12.3	28.6	47.5	8.2	11.3	8.5	2.6	50.4	0	3.3	20.9	336.8	220.1
