#header info#
40.4	#latitude; used for cacluating drought index in model bugmann#
65	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.97	3.12	2.35	4.56	1.71	0.74	0.49	1.16	0.79	0.31	1.82	7.01

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (?C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10	12.8	12.3	14.7	20.2	22.6	24.2	26.6	23.3	20.1	16.1	14.5	74.6	1.5	43.9	18.2	2.8	17.4	0	0	9.8	48.5	2.1	97.9
2	10.2	11.4	13.3	15.1	19	20.7	22.7	24.7	21.1	18.7	16.4	11.7	2	16.5	24.7	26.2	6.3	3.1	0.4	3	9.8	293	173.1	101.9
3	10.4	10.4	12.2	12.2	17.9	23.7	23.5	24.7	22.5	16.5	14.4	11.3	15.2	276.4	127.5	24.5	64.2	26.4	50.5	7.7	7.7	113.5	31.1	200
4	10.8	10.5	14.1	14.2	18.4	20.7	23	24.6	22.6	21.3	13	9.9	78	21.6	24.9	4.6	0.5	0.2	49.5	3.2	51.5	98.7	57.6	114.8
5	12.8	9.5	13.6	13.6	17.7	23.6	24.4	24.1	23.9	19.6	16.6	11.7	32.3	59.5	18.5	30.2	161.3	42.7	0.4	6	41.3	64.1	70.6	41.5
6	12.1	13.2	11.4	14.2	15.1	22.7	25.3	27.4	23.9	20.5	14.5	11.3	44.3	3.8	107.9	80.8	13.2	4.6	0	3.1	15.1	1.4	132.8	162.1
7	11.4	12.1	10.9	14.9	18.4	22.8	26	26.1	22.5	18.7	13.1	12.7	22.1	41.7	29.8	15	3.9	0	1.1	4.8	10.6	91.7	89.3	0.3
8	9.8	12.8	12.5	13.2	17.2	22.2	23.4	25.5	23.8	19.1	14.5	10.8	141.5	36	46.2	48.9	9.7	0	0	0	34.4	89.2	146	198.1
9	9.4	12.7	11.4	13.2	17.8	25.2	24	25.2	23.2	19.7	15.7	12.4	56.3	31.8	26.4	45	4.8	0.1	5	1	16.7	17.4	2.2	105.4
10	11.7	9.8	13.1	14.9	18.1	22	25.2	26.5	22.2	16.5	14.5	11.8	7.8	267.9	49	145.5	34.7	22	37.3	0	50.1	63.4	137.8	49.6
