#header info#
40.4	#latitude; used for cacluating drought index in model bugmann#
65	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.97	3.12	2.35	4.56	1.71	0.74	0.49	1.16	0.79	0.31	1.82	7.01

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
1	10	12.8	12.3	14.7	20.2	22.6	24.2	26.6	23.3	20.1	16.1	14.5	57.4	1.2	43.9	18.2	2.8	24.9	0	0	9.8	48.5	2.1	75.3
2	10.3	11.4	13.3	15.1	19.1	20.8	22.7	24.8	21.2	18.8	16.5	11.7	1.5	12.8	24.7	26.1	6.3	4.5	0.6	4.2	9.8	292.3	173	78.3
3	10.4	10.5	12.3	12.3	17.9	23.8	23.6	24.8	22.6	16.6	14.5	11.4	11.7	214.2	127.4	24.4	64.1	37.6	72.3	10.9	7.6	113	31.1	153.7
4	10.9	10.6	14.2	14.3	18.5	20.8	23.1	24.7	22.8	21.4	13.1	10	59.7	16.8	24.8	4.6	0.5	0.3	70.9	4.6	51.2	98	57.4	88.2
5	12.9	9.6	13.7	13.7	17.8	23.8	24.6	24.4	24.1	19.8	16.7	11.8	24.7	46.5	18.4	29.9	160.9	60.9	0.6	8.5	41	63.6	70.3	31.8
6	12.3	13.4	11.5	14.4	15.3	22.9	25.6	27.7	24.1	20.7	14.7	11.5	33.8	3	107.7	79.7	13.1	6.5	0	4.3	14.9	1.4	132.2	124.4
7	11.6	12.2	11.1	15.2	18.6	23.1	26.3	26.4	22.8	19	13.3	12.9	16.8	32.8	29.7	14.8	3.9	0	1.6	6.8	10.5	90.5	88.8	0.3
8	10	13	12.7	13.4	17.4	22.5	23.7	25.9	24.2	19.4	14.7	11	107.9	28.5	46.1	48.1	9.6	0	0	0	34	87.9	145	151.9
9	9.7	12.9	11.7	13.5	18	25.5	24.4	25.6	23.6	20.1	16	12.6	42.9	25.2	26.3	44	4.8	0.2	7.2	1.4	16.4	17.1	2.2	80.8
10	12	10.1	13.3	15.3	18.4	22.4	25.7	27	22.7	16.9	14.9	12	5.9	213.3	48.8	142.2	34.6	31.2	53.7	0	49.3	62.2	136.6	38
11	11.7	13.1	13.2	14.9	17.4	22.7	25.1	27.2	22.8	20.3	16.4	11	253.9	20.2	9.9	40.3	20.3	1.4	0.5	1.6	31.3	26.5	21.4	16.9
12	10.2	14.2	13.2	12.6	17.7	23.1	25.8	25.7	25.1	20.4	17.4	13.4	10.4	7.5	22.7	162.4	4.8	57.7	10.9	6	2.8	12.1	93.7	22
13	12.5	9.8	12.7	15.6	17.9	20.5	25.1	26.4	24.3	20	16	12.6	26.3	125.7	27.8	7.4	0.5	7.1	0.6	0	21.2	107.8	12.5	28
14	10.2	10.6	14.1	14.7	18.1	23.6	26.1	28.2	24.2	20.4	15.5	13.2	4.3	83.2	13.6	30.3	77.7	5.4	3.1	19.1	2.4	29.4	127.9	18.8
15	12	13.6	13.1	14	19	22.4	26.7	28.3	24.1	22.6	14.9	13.2	32.3	12.9	44.2	91	9.3	40.2	1.1	0.7	88.5	51.7	199.8	38
16	13.2	10.6	10.2	15.3	17.9	23	25.2	26	24.9	20	14.6	12.2	88.2	34.8	59.5	87.8	30	125.9	23.1	0.5	123.6	96.5	53.2	32.5
17	12.3	11.4	14.8	15.9	20.1	22.5	25	27.1	21.6	18.1	16.1	10.5	3.8	36.1	23.7	65.9	23.1	14.2	22.4	10.8	3.4	49.7	29	14.9
18	12.5	11.1	12.5	14	19.3	24.4	26.3	28.4	25	20.5	14.5	11.3	29.9	12.6	8.4	16.8	1.8	2	0	0.9	11.6	82	173.5	122.6
19	10.7	11.4	12.5	14.7	15.8	20.9	26.1	26.1	22.5	19	14.7	13.9	126.4	35.2	59.9	27.5	66.4	38	0.5	35	164.3	81.2	37.8	10
20	11.4	12.4	12.9	14.4	19.7	23.1	27	29	23.4	19.6	14.8	10.1	178.3	25	41.6	28.8	18.8	3.5	0	4	2.1	21.5	56.8	231.5
21	10.4	10.1	14.2	13.8	16.9	23.7	27.1	27.1	22.2	19.6	15.4	11.7	55.8	74.6	1.3	101.5	17.1	3.6	0	1.1	51.1	71.4	137.8	76
22	12	10.8	12.3	14	17.5	23.2	28.3	27	24.4	20.3	15.9	13.6	97.9	147.8	184.5	96.1	215.7	11.7	0.7	12.2	39	50.9	118.6	26.2
23	13.3	8.4	15.4	14.7	20.2	24.4	26.1	26.5	23.5	18.9	15.6	13.3	26.7	133	25	28.1	3.5	6.9	0.8	69.8	85.7	26.1	408.2	73
24	12.8	11.5	13.2	16.4	19.1	24	25.1	30.6	24.4	21.4	15.7	13.2	96.7	80.2	189.5	11.3	4.3	0	35.7	0.3	5	54.9	62.4	5.9
25	12.7	13.2	12.7	15.5	18.4	21.7	26.6	26.2	23.2	19.4	16.3	10.8	31.7	57.8	85.3	68.6	15.8	8.6	19.5	18.3	56.8	7.7	33.1	101.9
26	10.4	10	14.8	16.3	19.2	22	27	27	23.8	19.4	15.6	13	45.4	50.3	32.3	75.4	3.1	0.4	2.6	1.1	2.1	94.6	155.6	63.2
27	13	9.8	13.7	15.6	17.9	22.9	28.4	27.3	22.4	18	15.7	12	39.5	15.9	1.8	61.5	109.1	0.9	0	13.3	10.4	63	151.7	181.9
28	10.6	14.1	13.2	16.5	17.8	21.4	25.9	28.7	24.5	20.5	14.9	11.7	27.6	52.5	8.1	10.6	8.4	2.6	51.7	0	3.2	19.6	328.3	217.5
29	11.6	11.4	12.4	13.9	16.9	23	25.8	26.4	23.7	19.9	16.5	13.1	202.8	20.2	65.6	16.3	74.5	1.3	5.7	3.2	34.6	22.3	20.5	59.8
30	10.8	13	14.7	16.1	19.3	23.2	25.5	25	25.2	20.6	16.4	15.4	31	35.7	15	90.3	68.6	4.5	5.3	106.5	14.8	76.8	16.1	37.4
31	12	13.4	12.9	16.2	15.2	24.6	27.9	28.8	22.8	22.1	17	14.2	52.1	1.4	107.2	71.8	56.7	73.1	0.8	1.4	10.9	10.1	180.3	43.4
32	11.3	11.8	14.4	15.5	18.4	23.2	25.2	26.5	24.3	19.8	18.7	12.6	27.8	169.3	24.1	18.8	2.1	8.4	0	8.2	45.5	67.6	13.6	24.3
33	11.3	13.3	12.8	15.3	16.7	22.6	26.2	27.7	24.4	22.1	16.1	14.6	17.6	9.5	72.3	64.8	82.6	0.1	0	4.4	9	61.1	96.5	20.8
34	10.7	11.3	13.2	18	17.2	23.6	26.4	29.6	25.1	19.2	15.3	12.6	42	36.4	27.6	60	1.7	2.8	0.1	33	2	31.8	12.2	48
35	9.9	11.9	12.3	16.6	16.9	23	27.2	28.7	24.4	21.2	16.7	13.7	43.5	7.3	179.2	14.2	79.7	0	47.7	34.4	59.9	20	11.8	63.3
36	14.2	12.7	13.8	15.5	16.1	22	27.5	28.2	25.7	19.2	16.7	14.8	57.3	0.9	14.9	39.3	70.6	12.4	0	0.2	0.5	172.9	24.3	94.9
37	11.4	10.9	12.8	15.7	19.1	22.9	27.2	27.1	26.1	21.3	15.1	12.9	145.9	23.2	7.1	88.4	34.5	9.7	0.2	18.3	41.6	37.6	212.3	147.4
38	13.9	12	12	15.6	19.8	23.8	27.5	27.7	24.8	21.2	15	15.3	7.7	42.5	43.4	18.4	38.2	3.4	10.2	1.8	34	41	86.5	7.9
39	13.6	14.6	13.7	15.7	20.3	23.7	27.1	27.8	24.9	19.6	16.2	13.2	70.3	137.4	91.6	13	36	6.5	0	5.6	44.2	27.6	39.8	0.3
40	13.3	9	14	15.2	20.6	22	26.9	26.5	25	20.9	16.5	12.3	61.5	176.9	27.7	10.2	8.3	46.1	0.1	8.9	155	87.2	118.1	131.3
41	11.6	12.2	12.1	15.9	21.9	25.6	26	26	23.5	20.9	16.3	12.7	25.1	13.2	37.7	27.5	17.1	2.1	0	0.4	143.6	37.3	6.2	82.5
42	11.5	10.2	12.4	15.8	21.2	24.4	25.2	27.2	25.8	19.7	15.9	12.8	46.4	126.1	53.3	61.3	129	15.7	3.1	0	29.7	95.8	165	32.8
43	12	12.6	14.6	16.1	18.3	25.6	27.2	27.4	25.5	19.9	18.1	13.8	94	82.3	40.9	16.3	3.8	1.6	10	4.7	77.3	262.4	84.5	97.6
44	13.7	13.6	11.9	17.8	18.1	23	26.1	27.4	26.2	20.2	14.7	11.8	35.8	9.2	229.5	43.2	6.1	17.4	0.7	2.8	7.8	73.4	43.4	107.4
45	11.8	12.3	11.8	16.5	19.3	25.1	27.8	29.5	26.3	20.1	17.7	14.6	17.3	12.7	96.6	7.6	70	6.3	7.1	0.6	12.4	109.6	26.7	5.5
46	14.3	14.7	13.3	14.5	18.5	23.8	26.2	29.5	23.6	20.9	16.3	12.5	174.2	28.8	6.3	27.8	49.7	2.4	0.9	0	47	114.3	17.8	161.6
47	12.1	13.5	14.7	14.7	19.1	22.4	29	28.2	25.7	22.8	15.5	13.2	124.2	7.4	77.1	44.3	9.4	19.5	0.2	2.1	101.6	10.1	74.8	12.8
48	13.9	14	13.8	16	19.2	24.3	26.8	29.6	23.5	22.3	17.4	12	138.2	7	29.7	12.3	21.5	11.5	8.5	0.8	0	79.4	15.3	156.4
