Age,Age_bacon,Age_clam20,Que.il-t,Que.su-t,Que.pu-t,Ole,Pin,Abi,Acc,Ace,Aln,Bet,Cpn.be,Cas.sa,Cel,Cti,Cit,Cupeae,Euc,Fag,Fic.ca,Fra,Fra.or,Jug,Mor,Ost,Pic,Pla,Pop,Pru-t,Sor,Sty,Tax,Til,Ulm,Vtx,Arc.ox,Bux,Abt,Cis,Pfl,Pis,Cpx,Crn.sa,Cor,Eph,Gei-t,Hde.he,Hpp,Jun-t,Lav-t,Myt,Ros,Rbs,Slx,Sam,Smi,Tam,Thyeae,Vit,Erc.ar-t,Poaeae,Ach-t,All,Apieae,Aum-t,Art-t,Apg,Asd.al-t,Asteae.Ci,Ast-t,Asg-t,Bor,Braeae,Cam-t,Can.sa,Cdu-t,Crl-t,Crh,Cryeae,Ctu,Ctr,Crs-t,Cen.cy,Cer.so,Cer-t,Cpy.hi-t,Che-t,Cch,Cgo,Cyd,Con-t,Ccu,Cus,Cyc,Cgl-t,Dau.ca,Ecm,Ery,Eup,Epr,Fabeae,Flc.vu,Flg-t,Fum,Gal,Geneae,Ger,Glm,Hli,Hern,Hum,Hyp,Kna,Lameae,Lav,Lileae-t,Lnr,Lin,Lin.ca-t,Lis-t,Lot,Lyg,Lys.vu-t,Mlv,Mth,Mnt-t,Mrc.an,Odo-t,Orl,Orn-t,Orp,Pap,Pyc-t,Peu-t,Phm,Pmp.ma-t,Pln.co,Pln.la,Pln.ma,Pln.mr,Pol,Pri,Ptl-t,Rad.li,Ran.ac-t,Res,Roseae,Rubeae,Rum.as-t,Rum.al,Sal-t,San.mi-t,Sax.rt,Scu-t,Sca,Sll-t,Screae,Sed,Sen,Sil.di-t,Sil.vu-t,Sin-t,Sol.du,Sol.ni-t,Spu-t,Sta-t,Teu,Tha,Thg.cy,Trf.pr-t,Trf.re-t,Urt.cf.di,Urt.pi-t,Val,Vlr,Vrb,Vro-t,Vic-t,char,infl,Influx_bacon,Influx_bacon_z,Influx_clam20,Influx_clam20z
-62,-62,-62,7.2,2.1,1.6,5.1,24.2,0,0,0,0.6,0.4,0,0,0,0,0,2.1,0,0,0,1,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,7.4,0,0,0.8,0,0,0,0,8.8,0,0.6,0,0,0.2,0,0,4.3,0,0,1.8,12.3,0.6,0,0,0,1.2,0,0,0.4,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,2.5,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.8,0,0.2,0,0,0,0,0.2,0,0,0,0.6,0.6,0.2,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0.6,0,0,0,0,0,1.4,0,0,0,0,0,0,24105.9,12315,30855.53333,-0.248264128,92106.06965,0.758424727
-45,-24,-49,5.9,2.2,2.2,5.9,19.4,0,0,0,1,0.4,0,0,0,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2,0,0.2,0,0,0.4,0,0,0,0,1.4,0.2,12.1,0,0,0.2,0.2,1,0,0,8.5,0,0,0,0,0.4,0,0,1,0,0.2,4,11.3,0.4,0,0,0,0.4,0,0,2,0.4,0,0,3,0,0,0.2,0,0,0.2,0,0,0,0,0,2.2,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.6,0,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,2.6,0,0,0,0,0,0,0.2,0,0,0,0.6,1,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.4,0,0,0,0,0,0,0,0,0,0,39735.7,20299.8,50166.30208,0.357016852,148640.8951,1.895742419
-29,13,-35,10.4,2.2,4.1,3.9,9.6,0,0,0.2,0.8,1,0,0,0,0,0.2,0.6,0,0,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,1.6,0.8,8.8,0,0,0,0,1.2,0,0,6.5,0,1.2,0.2,0,0.6,0,0,0.6,0,0.8,3.9,9.4,1.2,0,0,0.2,2.6,0,0.8,2.6,1.6,0,0,1.2,0,0,0.4,0,0.4,0.2,0,0,0,0,0,2,0,3.3,0,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0,0,0,0.8,0,0,0,0,0.2,0.2,0,0,0.8,0,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.4,2.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0.8,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,2.2,0.2,0.4,0,0,0,0.8,0,0,0,0,0.2,0,53820.6,27495.3,68486.775,0.931257782,201431.6912,2.957741036
-12,51,-21,8.9,1.1,2.8,4,8.5,0,0.2,0,1.1,0.9,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,2.3,0,0,0,0,0,0.6,0,0,0.4,0.2,0,0,0.4,1.9,0.4,10,0,0,0.2,0,0.8,0,0,8.7,0,0.6,0,0,0.4,0,0,2.5,0,0,4.4,7.6,0.8,0.6,0,0,0.4,0,0,2.1,0.9,0,0,1.1,0,0.2,0.2,0,0,0,0,0,0,0,0,3.8,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0.4,0,0,0.6,0,1.9,0.6,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.6,0,0.2,3.6,0,0.6,0,0,0,0,0.8,0,0,0,1.1,1.7,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.6,0.6,0,0,0,1.5,0,0,0,0,1.5,0,36704.8,18751.4,64600.46948,0.809444567,139425.4737,1.71035471
4,88,-7,11.1,1.8,1.8,4.1,10.2,0.4,0,0,2.1,0.2,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0,0,2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,2.5,0,9.6,0,0,0.4,0,0.2,0,0,7.6,0,0,0.4,0.2,0,0,0,0.8,0,0.4,3.3,11.5,0,0,0,0,0.8,0,0.2,3.3,0.6,0,0,2.5,0,0,0.4,0,0,0.2,0,0,0,0,0,2.3,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0.2,0,0.2,0,0,0.2,0,0,0,0.8,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0.8,0,0,0,1.6,1.6,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,1.2,0.2,0,0,0,0,1.4,0.4,0,0,0,1,0,21415.4,10940.5,27411.69753,-0.356208474,77216.04938,0.458880448
21,125,7,11.2,1,1.9,5.4,14.1,0,0,0,1.9,0.4,0,0,0,0,0.2,0.4,0,0,0,0.4,0,0,0,1,0,0,0.2,0,0,0.4,0,0,0.6,0.2,0,0.2,0,1.2,0.4,10,0,0,0.6,0.4,0.2,0,0,5.2,0,0.4,0,0,0.8,0,0,2.5,0,1.3,4.8,13.1,0.4,0,0,0,0.8,0,0.2,2.1,0,0,0,1.3,0,0,0,0,0,0.2,0,0,0,0.2,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,2.1,0,0.2,0,0,0,0,0,0,0,0,1.2,0.8,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,1.7,1,1,0,0,0,1.2,0.4,0,0,0,0.6,0,36153.2,18469.6,46908.75,0.254911424,127642.8571,1.473322435
37,163,22,12.3,0.9,0.4,3.6,20.2,0,0.2,0,0.9,0.8,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.9,0,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0,0.4,0.4,10,0,0,0.6,0,0,0,0,5.3,0,0.4,0,0,0.2,0,0,0.9,0,0,2.5,14.9,0.4,0,0,0,2.1,0,0.2,2.3,0.9,0,0,2.1,0,0,0.6,0,0,0.2,0,0,0,0,0.2,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.2,0.4,0,0,0,0,0.4,0,0,0.2,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.4,0,0,0,0,1.5,0.2,0,0,0,0.2,0,40096.2,20484,53027.28261,0.446692054,139545.4805,1.712768902
54,200,38,4.1,2.4,0.8,5.9,11.8,0,0,0,1.2,1.2,0,0,0.8,0,0,0.2,0,0,0.2,0.4,0,0,0,2.8,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,2,1.6,9.6,0,0,0,0,1,0,0,2.8,0,1,0,0,0.8,0,0,1.2,0,1.2,4.1,10.4,0,0,0,0,1.8,0,0.2,2.2,1,0,0,0.4,0,0.2,0,0,0.2,0.2,0,0,0,0.2,0,3,0,1.8,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.8,0,0,0,0.4,0.8,1.6,0,0,1,0,0.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0.2,0,0,0,0,0,0,0,0.2,1.4,0.2,0,0,0,0,0,0.6,0,1.6,0,0,0,0,0,0,0,2.2,0,1,0.2,0,0,1.2,0.2,0,0,0,0,0,59902.7,30602.4,101435.1603,1.963999212,191387.0948,2.755672717
71,236,54,12.1,2.7,1.3,3.7,25.4,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,1,0.4,0,0.2,0,0,0.4,0,0.2,1,0,0,0.4,0,1.3,0.6,8.3,0.4,0,0.4,0,0,0,0,4.4,0,0.6,0,0,0.6,0,0,1.9,0,0.6,1.2,9.4,0.6,0,0,0.2,0.8,0,0,0.8,0.6,0,0,1.9,0,0,0.2,0,0,0.6,0,0,0,0,0,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.4,2.1,0,0.2,0,0,0,0,0.8,0,0,0,1.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0.8,0,0,0,0,0.2,0,0,0,0,0,0,36153.2,18469.6,46908.75,0.254911424,113033.1325,1.179416897
87,274,71,8.6,0.8,2.3,6.9,4.8,0,0,0,2.1,1.5,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,1.5,0.2,10.1,0.2,0,0.6,0,0,0,0,5.3,0,0.8,0,0,0.2,0,0,0,0,0,2.5,17.9,0.6,0,0,0,1.1,0,0,2.3,1,0,0,3,0,0,0.2,0,0,0.6,0,0,0,0,0,6.3,0,1.5,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0.4,0,0,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,4,0.6,0,0,0,0,0,1,0,0,0.2,0.6,2.3,0.6,0.2,0,0,0,0.2,0.4,0.2,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0.2,1,0.4,0,0,0,0,0,30086.2,15370.1,39488.15678,0.022318719,90258.64407,0.72125985
