Age,Age_bacon,Age_clam20,Que.il.t,Que.ce.t,Que.ro.t,Ole,Pin,Abi,Ace,Aln,Bet,Cupeae,Euc,Fag,Fra,Fra.or,Jug,Hde,Mor,Ost,Pin.ha,Pic,Til,Ulm,Cas,Abt,Bux,Cpx,Cis,Cor,Thy,Eph.d.,Eph.cf.fr,Eph.indet,Erceae,Gei,Jun,Myt,Pfl,Pis,Pru,Rbs,Rhu,Slx,Sor,Tam,Tax,Vib,Vit,Ziz,Erc,Poaeae,Ach,Alh,Ahu,Apieae,All,Aum,Art,Asd,Ast-t,Braeae,Bup,Can-t,Crd,Cdu,Crl,Cryeae,Cen.ja,Cen,Ctu,Cer.ud,Che,Coo,Cypeae,Dip,Drb-t,Ecm,Eup,Fabeae,Flc,Flg-t,Gal,Gen,Ger,Glo,Hli,Hyp,Jas,Jnceae,Lameae,Lav,Asteae.Ci,Lileae,Lim,Lnr,Lin,Lin.ca,Lot,Lyt,Mal,Mth,Mnt,Mrc,Pap,Phm,Pln.co,Pln.la-t,Pln.ma,Pln.mr,Pol.av,Prl,Pso,Rad,Ran,Rhi,Roseae,Rubeae,Rum.as,Rum.al,Rum.ob,Sgi,Sax,Scr.t.,Sed,Sen-t,Srr-t,Sil,Sin,Smi,Sol.ni,Spu-t,Sta,Teu,Tha,Trf-t,Sol.ni,Sol.ni,Vro,Vio,Char,Influx,influx_bacon,influx_bacon_z,Influx_clam20,Influx_clam20z
-76,-62,-62,10.7,1.9,5.9,8.8,25.3,0,0,0.3,0,0,6.1,0,1.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.1,0.3,0,0,0,0.3,0,0,3.5,1.1,0.8,5.1,0,0,0,0,0,0,0,0,0.3,0,11.7,5.3,0,0,0,0.3,0,0,1.3,0.5,0.5,0.8,0,0,0,0,0,0,0,0,0,0,2.9,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,1.3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,633440.8889,42465.31099,48726.22222,-1.084202262,42828.99857,-0.871233509
103,92,115,17.8,3.7,3.2,4,1.7,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,3.5,0.2,0,0,0,0,0,0,2.7,1.2,1.7,10.9,0,0,0,0,0,0,0,0,0.2,0,21.8,8.4,0,0,0,0.2,0,0,1.5,0.5,1.2,0.2,0,0,0,0,0.5,0,0,0,0,1.2,2,0,2.2,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0,0,0,0.5,0,1.2,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0,1.7,1.2,0,0.5,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,652392,44016.80964,50184,-1.080411645,44229.9661,-0.86921149
282,243,292,20.5,3.7,6.1,5.4,0.7,0,0,0.7,0,0,0,0,1.7,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.2,5.1,1,1.7,9,0,0,0,0,0,0,0,0.2,0.2,0,20.3,5.6,0.5,0,0,1.2,0,0,1.7,0,1.2,1,0,0.2,0,0,0.2,0,0,0,0,0.2,2.9,0,2.2,0,0.2,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0.5,1.2,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0.2,0.2,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487517.3333,33477.58512,37501.33333,-1.113390019,33300.3643,-0.884986202
518,448,524,20.6,7.7,2.6,8.9,1,0,0,0.7,0,0,0,0,0.5,0,0,0,0,1.4,0,0,0,0,0,0,0,0,4.3,0,0.5,0,0,0,0,0,5.3,1.4,1,5.8,0,0,0,0,0,0,0,0,0,0,20.4,7,0.2,0,0,0.7,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0.7,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0.5,0,0,0.7,0,1.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,398684,28163.10817,30668,-1.13115854,27744.18928,-0.893005439
748,652,751,18.7,5.7,5.9,9.2,0.9,0,0,1.2,0,0,0,0,1.4,0,0,0,0,0.7,0,0,0,0,0,0.5,0,0,4.5,0,0,0,0,0,0,0,4.7,1.9,1.9,7.3,0,0,0,0,0,0,0,0,0,0,16.5,6.1,0,0.2,0,0.2,0,0,0.9,0,0.7,0.5,0,0,0,0,0,0,0,0,0,0.7,3.1,0,0.7,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.7,0,0,0,0,0.2,0,0.2,0,0,1.2,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0.2,0,0,0,0,394807.6364,28910.399,30369.81818,-1.131933894,28261.10497,-0.892259373
971,857,971,20.6,12.1,4.2,9.6,1.2,0,0,2.6,0,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,3,0,0.5,0,0,0,0,0,5.8,2.1,1.6,7.5,0,0,0,0,0,0,0,0,0,0,17.1,3.5,0,0,0,0.2,0,0,1.6,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.2,1.6,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.6,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951994.1053,73406.77438,73230.31579,-1.02048497,70885.63703,-0.830739317
1185,1065,1181,18.3,10.5,4.3,7,0.5,0,0,2.3,0,0,0,0,0,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0,3.5,0.3,0,0,0,0,0,0.3,3,4,1,7.3,0,0,0,0,0,0,0,0,0,0,14.3,7.3,0.8,0,0,0,0,0,1.3,1.3,0.8,1.3,0,0,0,0,0,0,0,0,0,1,3.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.8,0,0.8,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,1.3,0,0.3,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,273263.5862,22479.26673,22771.96552,-1.151690372,21398.87128,-0.902163646
1386,1263,1379,19.3,9.8,3.3,6.3,0.3,0,0,2,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,3,0.5,0.8,0,0,0,0,0,4,9,1,3.8,0,0,0,0,0,0,0,0,0,0,13.3,8.5,0,0,0,0.5,0,0,1.3,0,1,0.3,0,0,0,0,0,0,0,0,0,0,6.5,0,2.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0.3,0.3,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085062.588,96450.00784,90421.88233,-0.975782233,90648.50359,-0.80221554
1574,1455,1564,23.5,12.9,1.9,5.3,1.4,0,0,2.4,0,0,0,0,0.7,0,0,0,0,0.5,0.2,0,0,0,0,0,0,0,3.1,0.5,0,0,0,0,0,0,1.2,5,1,3.1,0,0,0,0.2,0.2,0,0,0,0,0,16.8,7.7,0,0,0,0.2,0,0,0.5,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.5,4.8,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.7,0,1,0,0,0,0,0,0,0,0,0.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297990.6885,29340.62164,22922.36065,-1.151299304,27016.38155,-0.894055885
1746,1658,1733,14.3,8.6,1.7,5.7,1.2,0,0,1.2,0.2,0.2,0,0,0.5,0,0,0,0,1.2,0,0,0,0,0,0.2,0,0,4.8,0.2,0,0,0,0.2,0,0,2.9,13.5,1.4,4.8,0,0,0,0,0,0,0,0,0,0,16.9,6.7,0.5,0,0,0.7,0,0,0.7,0.2,0.7,1,0,0,0,0,0.5,0,0,0,0,0,3.8,0,1,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0.5,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,0.2,0.2,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,620412,68934.66667,47724,-1.086808312,62227.88365,-0.843235067
